Parameter,Category,Fraction,Count
params_cnn1d_activation_0,leaky_relu,0.2857142857142857,6
params_cnn1d_activation_0,tanh,0.2857142857142857,6
params_cnn1d_activation_0,swish,0.14285714285714285,3
params_cnn1d_activation_0,relu,0.14285714285714285,3
params_cnn1d_activation_0,elu,0.09523809523809523,2
params_cnn1d_activation_0,sigmoid,0.047619047619047616,1
params_cnn1d_activation_1,swish,0.3333333333333333,7
params_cnn1d_activation_1,leaky_relu,0.2857142857142857,6
params_cnn1d_activation_1,elu,0.19047619047619047,4
params_cnn1d_activation_1,tanh,0.09523809523809523,2
params_cnn1d_activation_1,relu,0.09523809523809523,2
params_cnn1d_activation_2,leaky_relu,0.47619047619047616,10
params_cnn1d_activation_2,relu,0.23809523809523808,5
params_cnn1d_activation_2,swish,0.14285714285714285,3
params_cnn1d_activation_2,elu,0.09523809523809523,2
params_cnn1d_activation_2,sigmoid,0.047619047619047616,1
params_cnn1d_activation_3,tanh,0.4666666666666667,7
params_cnn1d_activation_3,swish,0.26666666666666666,4
params_cnn1d_activation_3,leaky_relu,0.13333333333333333,2
params_cnn1d_activation_3,sigmoid,0.06666666666666667,1
params_cnn1d_activation_3,elu,0.06666666666666667,1
params_cnn1d_activation_4,leaky_relu,0.25,1
params_cnn1d_activation_4,elu,0.25,1
params_cnn1d_activation_4,swish,0.25,1
params_cnn1d_activation_4,tanh,0.25,1
params_cnn1d_activation_5,tanh,0.5,1
params_cnn1d_activation_5,elu,0.5,1
params_cnn1d_use_batch_norm_3,False,0.9333333333333333,14
params_cnn1d_use_batch_norm_3,True,0.06666666666666667,1
params_cnn1d_use_batch_norm_4,False,0.5,2
params_cnn1d_use_batch_norm_4,True,0.5,2
params_cnn1d_use_batch_norm_5,False,0.5,1
params_cnn1d_use_batch_norm_5,True,0.5,1
params_dense_1_activation,swish,0.47619047619047616,10
params_dense_1_activation,elu,0.3333333333333333,7
params_dense_1_activation,leaky_relu,0.09523809523809523,2
params_dense_1_activation,tanh,0.047619047619047616,1
params_dense_1_activation,sigmoid,0.047619047619047616,1
params_dense_2_activation,swish,0.38095238095238093,8
params_dense_2_activation,sigmoid,0.3333333333333333,7
params_dense_2_activation,elu,0.19047619047619047,4
params_dense_2_activation,tanh,0.047619047619047616,1
params_dense_2_activation,relu,0.047619047619047616,1
params_optimizer,AdamW,0.3333333333333333,7
params_optimizer,RMSprop,0.2857142857142857,6
params_optimizer,Nadam,0.23809523809523808,5
params_optimizer,Lion,0.09523809523809523,2
params_optimizer,SGD,0.047619047619047616,1
