Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_filters_0,371.55555555555554,138.02566778436633,32.0,328.0,416.0,480.0,512.0
params_conv1d_filters_1,240.0,157.62949858300448,32.0,96.0,224.0,376.0,480.0
params_conv1d_filters_2,384.0,154.44473597565,64.0,360.0,448.0,480.0,512.0
params_conv1d_filters_3,312.8888888888889,115.13084343958883,128.0,192.0,352.0,416.0,448.0
params_conv1d_filters_4,266.6666666666667,119.16151504016163,32.0,272.0,320.0,320.0,352.0
params_conv1d_filters_5,320.0,90.50966799187809,256.0,288.0,320.0,352.0,384.0
params_conv1d_kernel_size_0,4.0,1.3719886811400708,1.0,3.0,5.0,5.0,5.0
params_conv1d_kernel_size_1,3.9444444444444446,1.1617543641469048,1.0,3.25,4.0,5.0,5.0
params_conv1d_kernel_size_2,3.7222222222222223,1.4473324572571657,1.0,3.0,4.0,5.0,5.0
params_conv1d_kernel_size_3,3.111111111111111,1.7638342073763937,1.0,1.0,3.0,5.0,5.0
params_conv1d_kernel_size_4,2.5,1.0488088481701516,1.0,2.0,2.5,3.0,4.0
params_conv1d_kernel_size_5,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0
params_conv1d_pool_size_0,5.944444444444445,4.543543864614185,1.0,3.0,4.5,9.5,14.0
params_conv1d_pool_size_1,7.777777777777778,4.413289496850001,1.0,4.0,7.0,12.0,14.0
params_conv1d_pool_size_2,7.666666666666667,5.45570397678915,1.0,2.25,7.0,12.75,15.0
params_conv1d_pool_size_3,2.5555555555555554,2.0069324297987157,1.0,1.0,1.0,4.0,6.0
params_conv1d_pool_size_4,2.1666666666666665,1.602081978759722,1.0,1.0,1.5,2.75,5.0
params_conv1d_pool_size_5,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0
params_extra_dense_0_dropout_0,0.25,0.15811388300841897,0.0,0.1,0.30000000000000004,0.375,0.5
params_extra_dense_0_units_0,222.22222222222223,71.17133887404523,50.0,200.0,250.0,250.0,300.0
params_extra_dense_1_dropout_0,0.2888888888888889,0.14907119849998599,0.0,0.2,0.30000000000000004,0.4,0.5
params_extra_dense_1_units_0,127.77777777777777,59.95641118204178,50.0,100.0,100.0,150.0,250.0
params_lr,0.0013511634562696692,0.002231305736268402,2.1927020380675763e-05,0.00025269059394435395,0.0003676066482310959,0.0011102337426725875,0.00885754901430233
params_num_layers,3.9444444444444446,1.1099667309387473,3.0,3.0,3.5,5.0,6.0
