Parameter,Category,Fraction,Count
params_conv1d_activation_0,swish,0.8275862068965517,24
params_conv1d_activation_0,relu,0.13793103448275862,4
params_conv1d_activation_0,tanh,0.034482758620689655,1
params_conv1d_activation_1,tanh,0.6551724137931034,19
params_conv1d_activation_1,relu,0.27586206896551724,8
params_conv1d_activation_1,swish,0.06896551724137931,2
params_conv1d_activation_2,swish,0.6551724137931034,19
params_conv1d_activation_2,tanh,0.20689655172413793,6
params_conv1d_activation_2,relu,0.06896551724137931,2
params_conv1d_activation_2,sigmoid,0.06896551724137931,2
params_conv1d_activation_3,relu,0.75,18
params_conv1d_activation_3,swish,0.125,3
params_conv1d_activation_3,sigmoid,0.08333333333333333,2
params_conv1d_activation_3,tanh,0.041666666666666664,1
params_conv1d_activation_4,sigmoid,0.6818181818181818,15
params_conv1d_activation_4,swish,0.3181818181818182,7
params_conv1d_activation_5,swish,0.7857142857142857,11
params_conv1d_activation_5,relu,0.14285714285714285,2
params_conv1d_activation_5,sigmoid,0.07142857142857142,1
params_conv1d_bn_3,True,0.9583333333333334,23
params_conv1d_bn_3,False,0.041666666666666664,1
params_conv1d_bn_4,False,0.9090909090909091,20
params_conv1d_bn_4,True,0.09090909090909091,2
params_conv1d_bn_5,True,1.0,14
params_extra_dense_0_activation_0,relu,0.4827586206896552,14
params_extra_dense_0_activation_0,tanh,0.4827586206896552,14
params_extra_dense_0_activation_0,swish,0.034482758620689655,1
params_extra_dense_1_activation_0,swish,0.4482758620689655,13
params_extra_dense_1_activation_0,sigmoid,0.27586206896551724,8
params_extra_dense_1_activation_0,tanh,0.2413793103448276,7
params_extra_dense_1_activation_0,relu,0.034482758620689655,1
params_optimizer,AdamW,0.5517241379310345,16
params_optimizer,Lion,0.3448275862068966,10
params_optimizer,RMSprop,0.10344827586206896,3
