Parameter,Category,Fraction,Count
params_conv1d_activation_0,swish,0.9310344827586207,27
params_conv1d_activation_0,relu,0.034482758620689655,1
params_conv1d_activation_0,tanh,0.034482758620689655,1
params_conv1d_activation_1,tanh,0.7931034482758621,23
params_conv1d_activation_1,relu,0.13793103448275862,4
params_conv1d_activation_1,swish,0.06896551724137931,2
params_conv1d_activation_2,swish,0.896551724137931,26
params_conv1d_activation_2,tanh,0.06896551724137931,2
params_conv1d_activation_2,sigmoid,0.034482758620689655,1
params_conv1d_activation_3,relu,0.8928571428571429,25
params_conv1d_activation_3,swish,0.07142857142857142,2
params_conv1d_activation_3,tanh,0.03571428571428571,1
params_conv1d_activation_4,sigmoid,0.8571428571428571,24
params_conv1d_activation_4,swish,0.10714285714285714,3
params_conv1d_activation_4,tanh,0.03571428571428571,1
params_conv1d_activation_5,swish,0.7857142857142857,22
params_conv1d_activation_5,relu,0.10714285714285714,3
params_conv1d_activation_5,sigmoid,0.10714285714285714,3
params_conv1d_bn_3,True,0.9642857142857143,27
params_conv1d_bn_3,False,0.03571428571428571,1
params_conv1d_bn_4,False,1.0,28
params_conv1d_bn_5,True,0.8928571428571429,25
params_conv1d_bn_5,False,0.10714285714285714,3
params_extra_dense_0_activation_0,tanh,0.8275862068965517,24
params_extra_dense_0_activation_0,relu,0.13793103448275862,4
params_extra_dense_0_activation_0,sigmoid,0.034482758620689655,1
params_extra_dense_1_activation_0,swish,0.7586206896551724,22
params_extra_dense_1_activation_0,tanh,0.13793103448275862,4
params_extra_dense_1_activation_0,sigmoid,0.10344827586206896,3
params_optimizer,AdamW,0.8620689655172413,25
params_optimizer,Lion,0.10344827586206896,3
params_optimizer,RMSprop,0.034482758620689655,1
