Parameter,Category,Fraction,Count
params_conv1d_activation_0,tanh,0.9474,36
params_conv1d_activation_0,swish,0.0526,2
params_conv1d_activation_1,swish,0.9737,37
params_conv1d_activation_1,relu,0.0263,1
params_conv1d_activation_2,swish,0.8947,34
params_conv1d_activation_2,relu,0.0526,2
params_conv1d_activation_2,sigmoid,0.0263,1
params_conv1d_activation_2,tanh,0.0263,1
params_conv1d_activation_3,sigmoid,0.9474,36
params_conv1d_activation_3,relu,0.0526,2
params_conv1d_activation_4,tanh,1.0,1
params_conv1d_bn_3,True,0.9737,37
params_conv1d_bn_3,False,0.0263,1
params_conv1d_bn_4,False,1.0,1
params_extra_dense_0_activation_0,relu,0.9474,36
params_extra_dense_0_activation_0,sigmoid,0.0263,1
params_extra_dense_0_activation_0,tanh,0.0263,1
params_extra_dense_1_activation_0,swish,0.9211,35
params_extra_dense_1_activation_0,sigmoid,0.0526,2
params_extra_dense_1_activation_0,relu,0.0263,1
params_optimizer,Lion,0.9737,37
params_optimizer,AdamW,0.0263,1
