Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_filters_0,485.89473684210526,48.13258124135774,320.0,480.0,512.0,512.0,512.0
params_conv1d_filters_1,270.3157894736842,44.451069523604474,192.0,256.0,256.0,288.0,480.0
params_conv1d_filters_2,474.10526315789474,79.3854059273693,160.0,480.0,512.0,512.0,512.0
params_conv1d_filters_3,96.84210526315789,93.95643795550103,64.0,64.0,64.0,96.0,512.0
params_conv1d_filters_4,64.0,,64.0,64.0,64.0,64.0,64.0
params_conv1d_filters_5,,,,,,,
params_conv1d_kernel_size_0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
params_conv1d_kernel_size_1,4.842105263157895,0.7175904044928408,1.0,5.0,5.0,5.0,5.0
params_conv1d_kernel_size_2,2.236842105263158,0.6752060957165195,2.0,2.0,2.0,2.0,5.0
params_conv1d_kernel_size_3,4.894736842105263,0.45258857184282847,3.0,5.0,5.0,5.0,5.0
params_conv1d_kernel_size_4,1.0,,1.0,1.0,1.0,1.0,1.0
params_conv1d_kernel_size_5,,,,,,,
params_conv1d_pool_size_0,3.3157894736842106,0.8416606222994191,1.0,3.0,3.0,3.0,5.0
params_conv1d_pool_size_1,3.0789473684210527,0.5873246235015744,1.0,3.0,3.0,3.0,5.0
params_conv1d_pool_size_2,4.921052631578948,0.5393479019308521,2.0,5.0,5.0,5.0,6.0
params_conv1d_pool_size_3,5.078947368421052,0.3587952022464204,5.0,5.0,5.0,5.0,7.0
params_conv1d_pool_size_4,5.0,,5.0,5.0,5.0,5.0,5.0
params_conv1d_pool_size_5,,,,,,,
params_extra_dense_0_dropout_0,0.2973684210526317,0.01622214211307626,0.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
params_extra_dense_0_units_0,201.31578947368422,8.111071056538126,200.0,200.0,200.0,200.0,250.0
params_extra_dense_1_dropout_0,0.04736842105263158,0.1132727922420226,0.0,0.0,0.0,0.0,0.4
params_extra_dense_1_units_0,297.36842105263156,16.222142113076252,200.0,300.0,300.0,300.0,300.0
params_lr,0.00012350517388353124,9.69648739651168e-05,6.577198977494995e-05,8.48766376659922e-05,9.585097443000973e-05,0.00012366551513349816,0.0006622962252488894
params_num_layers,4.026315789473684,0.1622214211307625,4.0,4.0,4.0,4.0,5.0
