Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_filters_0,465.6842105263158,66.04043384785254,128.0,448.0,480.0,512.0,512.0
params_conv1d_filters_1,309.38947368421054,97.15315947794453,64.0,256.0,288.0,320.0,512.0
params_conv1d_filters_2,444.12631578947367,98.209929788724,32.0,416.0,480.0,512.0,512.0
params_conv1d_filters_3,103.05376344086021,100.53332007458727,32.0,64.0,64.0,96.0,512.0
params_conv1d_filters_4,304.0,154.75859337116702,64.0,152.0,368.0,408.0,480.0
params_conv1d_filters_5,236.8,152.79790574481052,128.0,128.0,128.0,352.0,448.0
params_conv1d_kernel_size_0,3.536842105263158,1.0521887121844895,1.0,4.0,4.0,4.0,5.0
params_conv1d_kernel_size_1,4.6947368421052635,0.885792434636815,1.0,5.0,5.0,5.0,5.0
params_conv1d_kernel_size_2,2.2473684210526317,0.8013668356918073,1.0,2.0,2.0,2.0,5.0
params_conv1d_kernel_size_3,4.82258064516129,0.5749038053040656,1.0,5.0,5.0,5.0,5.0
params_conv1d_kernel_size_4,2.6,1.349897115421106,1.0,1.25,3.0,3.0,5.0
params_conv1d_kernel_size_5,3.2,1.6431676725154984,1.0,2.0,4.0,4.0,5.0
params_conv1d_pool_size_0,3.2736842105263158,1.0072972403601652,1.0,3.0,3.0,3.0,7.0
params_conv1d_pool_size_1,3.3,1.3760998487213032,1.0,3.0,3.0,3.0,15.0
params_conv1d_pool_size_2,4.905263157894737,1.0796205899352778,1.0,5.0,5.0,5.0,12.0
params_conv1d_pool_size_3,5.241935483870968,0.8887066315136009,1.0,5.0,5.0,5.0,7.0
params_conv1d_pool_size_4,2.7,1.636391694484477,1.0,1.25,2.0,4.0,5.0
params_conv1d_pool_size_5,1.6,0.8944271909999159,1.0,1.0,1.0,2.0,3.0
params_extra_dense_0_dropout_0,0.2957894736842105,0.04581025848857775,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.5
params_extra_dense_0_units_0,211.8421052631579,43.69538999317351,100.0,200.0,200.0,200.0,300.0
params_extra_dense_1_dropout_0,0.04894736842105263,0.11851795286693197,0.0,0.0,0.0,0.0,0.5
params_extra_dense_1_units_0,286.57894736842104,44.14240518361047,50.0,300.0,300.0,300.0,300.0
params_lr,0.00019632262914671172,0.00037132441057749694,1.2992940239635182e-05,9.077125409256448e-05,0.00011574980350316996,0.00016828815944977546,0.004388922923566097
params_num_layers,4.057894736842106,0.3873882012796353,3.0,4.0,4.0,4.0,6.0
