Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_filters_0,494.32,33.85,512,480,512,475.2,512
params_conv1d_filters_1,280.42,55.89,256,256,288,224,388.8
params_conv1d_filters_2,443.79,126.08,512,456,512,177.6,512
params_conv1d_filters_3,119.58,118.73,64,64,96,32,393.6
params_conv1d_filters_4,320,143.11,352,224,416,147.2,467.2
params_conv1d_filters_5,234.67,184.75,128,128,288,128,416
params_conv1d_kernel_size_0,3.89,0.56,4,4,4,3,4
params_conv1d_kernel_size_1,4.68,0.9,5,5,5,2.85,5
params_conv1d_kernel_size_2,2.42,0.95,2,2,2,2,5
params_conv1d_kernel_size_3,4.68,0.84,5,5,5,3,5
params_conv1d_kernel_size_4,2.8,1.1,3,3,3,1.4,3.8
params_conv1d_kernel_size_5,4.33,0.58,4,4,4.5,4,4.9
params_conv1d_pool_size_0,3.24,1.42,3,3,4.75,1,5.15
params_conv1d_pool_size_1,2.92,0.97,3,3,3,1,5
params_conv1d_pool_size_2,4.5,1.2,5,5,5,1.85,5.15
params_conv1d_pool_size_3,4.87,1.09,5,5,5,2.85,6.15
params_conv1d_pool_size_4,2.4,1.52,2,1,4,1,4
params_conv1d_pool_size_5,1.33,0.58,1,1,1.5,1,1.9
params_extra_dense_0_dropout_0,0.28,6.22e-02,0.3,0.3,0.3,0.19,0.3
params_extra_dense_0_units_0,198.68,21.71,200,200,200,192.5,207.5
params_extra_dense_1_dropout_0,6.58e-02,0.13,0,0,7.50e-02,0,0.4
params_extra_dense_1_units_0,275,67.53,300,300,300,92.5,300
params_lr,3.15e-04,7.42e-04,1.09e-04,9.05e-05,1.64e-04,6.71e-05,1.30e-03
params_num_layers,4.21,0.58,4,4,4,4,6
