"Parameter","Category","Fraction","Count"
params_conv1d_0_act,relu,0.6239,219
params_conv1d_0_act,swish,0.3305,116
params_conv1d_0_act,sigmoid,0.0313,11
params_conv1d_0_act,tanh,0.0142,5
params_conv1d_1_act,relu,0.604,212
params_conv1d_1_act,swish,0.3789,133
params_conv1d_1_act,sigmoid,0.0114,4
params_conv1d_1_act,tanh,0.0057,2
params_conv1d_2_act,swish,0.886,311
params_conv1d_2_act,relu,0.094,33
params_conv1d_2_act,tanh,0.0114,4
params_conv1d_2_act,sigmoid,0.0085,3
params_conv1d_3_act,swish,0.7265,255
params_conv1d_3_act,relu,0.2507,88
params_conv1d_3_act,tanh,0.0171,6
params_conv1d_3_act,sigmoid,0.0057,2
params_dense_1_act,relu,0.7094,249
params_dense_1_act,swish,0.2393,84
params_dense_1_act,sigmoid,0.0427,15
params_dense_1_act,tanh,0.0085,3
params_dense_2_act,sigmoid,0.4644,163
params_dense_2_act,tanh,0.4103,144
params_dense_2_act,swish,0.0826,29
params_dense_2_act,relu,0.0427,15
