Parameter,Category,Fraction,Count
params_conv1d_0_act,swish,0.625,170
params_conv1d_0_act,relu,0.3603,98
params_conv1d_0_act,tanh,0.0147,4
params_conv1d_1_act,relu,0.7096,193
params_conv1d_1_act,swish,0.2279,62
params_conv1d_1_act,tanh,0.0625,17
params_conv1d_2_act,relu,0.7022,191
params_conv1d_2_act,swish,0.2721,74
params_conv1d_2_act,tanh,0.0257,7
params_conv1d_3_act,swish,0.7978,217
params_conv1d_3_act,relu,0.1618,44
params_conv1d_3_act,tanh,0.0404,11
params_dense_0_act,swish,0.806,216
params_dense_0_act,relu,0.1791,48
params_dense_0_act,tanh,0.0149,4
params_dense_1_act,relu,0.5,3
params_dense_1_act,swish,0.3333,2
params_dense_1_act,tanh,0.1667,1
