Parameter,Category,Fraction,Count
params_conv1d_0_act,swish,1.0,25
params_conv1d_1_act,swish,1.0,25
params_conv1d_2_act,swish,0.92,23
params_conv1d_2_act,relu,0.08,2
params_conv1d_3_act,swish,0.96,24
params_conv1d_3_act,relu,0.04,1
params_dense_0_act,relu,1.0,25
params_dense_1_act,tanh,1.0,25
params_se_0_se_act_expand,tanh,1.0,25
params_se_0_se_act_reduce,tanh,0.64,16
params_se_0_se_act_reduce,swish,0.28,7
params_se_0_se_act_reduce,relu,0.08,2
params_se_1_se_act_expand,tanh,1.0,25
params_se_1_se_act_reduce,tanh,0.76,19
params_se_1_se_act_reduce,swish,0.12,3
params_se_1_se_act_reduce,relu,0.12,3
params_se_3_se_act_expand,swish,1.0,25
params_se_3_se_act_reduce,relu,0.48,12
params_se_3_se_act_reduce,swish,0.36,9
params_se_3_se_act_reduce,tanh,0.16,4
