Parameter,Category,Fraction,Count
params_adjacency_type,grid,0.5536,31
params_adjacency_type,knn,0.4464,25
params_cheb_0_activation,relu,0.9091,10
params_cheb_0_activation,None,0.0909,1
params_cheb_1_activation,swish,0.6,3
params_cheb_1_activation,None,0.2,1
params_cheb_1_activation,tanh,0.2,1
params_cheb_2_activation,None,0.7143,5
params_cheb_2_activation,swish,0.1429,1
params_cheb_2_activation,tanh,0.1429,1
params_cheb_3_activation,swish,0.5,1
params_cheb_3_activation,relu,0.5,1
params_dense_0_act,relu,0.3571,20
params_dense_0_act,swish,0.3036,17
params_dense_0_act,tanh,0.2321,13
params_dense_0_act,None,0.1071,6
params_dense_1_act,swish,0.5179,29
params_dense_1_act,None,0.2321,13
params_dense_1_act,relu,0.1964,11
params_dense_1_act,tanh,0.0536,3
params_dense_2_act,swish,0.4074,11
params_dense_2_act,tanh,0.2593,7
params_dense_2_act,None,0.2222,6
params_dense_2_act,relu,0.1111,3
params_gat_0_activation,swish,0.4839,15
params_gat_0_activation,relu,0.2581,8
params_gat_0_activation,tanh,0.129,4
params_gat_0_activation,None,0.129,4
params_gat_1_activation,None,0.2917,7
params_gat_1_activation,swish,0.2917,7
params_gat_1_activation,tanh,0.2917,7
params_gat_1_activation,relu,0.125,3
params_gat_2_activation,tanh,0.375,6
params_gat_2_activation,relu,0.375,6
params_gat_2_activation,swish,0.125,2
params_gat_2_activation,None,0.125,2
params_gat_3_activation,relu,0.5714,4
params_gat_3_activation,None,0.1429,1
params_gat_3_activation,swish,0.1429,1
params_gat_3_activation,tanh,0.1429,1
params_gcn_0_activation,relu,0.4286,6
params_gcn_0_activation,swish,0.3571,5
params_gcn_0_activation,tanh,0.1429,2
params_gcn_0_activation,None,0.0714,1
params_gcn_1_activation,relu,0.3529,6
params_gcn_1_activation,swish,0.2941,5
params_gcn_1_activation,tanh,0.2941,5
params_gcn_1_activation,None,0.0588,1
params_gcn_2_activation,swish,0.3333,2
params_gcn_2_activation,relu,0.3333,2
params_gcn_2_activation,None,0.1667,1
params_gcn_2_activation,tanh,0.1667,1
params_layer_0_type,gat,0.5536,31
params_layer_0_type,gcn,0.25,14
params_layer_0_type,cheb,0.1964,11
params_layer_1_type,gat,0.4898,24
params_layer_1_type,gcn,0.3469,17
params_layer_1_type,cheb,0.102,5
params_layer_1_type,none,0.0612,3
params_layer_2_type,gat,0.4848,16
params_layer_2_type,cheb,0.2121,7
params_layer_2_type,gcn,0.1818,6
params_layer_2_type,none,0.1212,4
params_layer_3_type,none,0.4375,7
params_layer_3_type,gat,0.4375,7
params_layer_3_type,cheb,0.125,2
