Parameter,Category,Fraction,Count
params_cheb_0_act,relu,1.0,31
params_cheb_1_act,swish,1.0,31
params_conv1d_0_act,tanh,1.0,31
params_conv1d_1_act,swish,0.8387,26
params_conv1d_1_act,relu,0.1613,5
params_conv1d_2_act,None,0.6129,19
params_conv1d_2_act,relu,0.3548,11
params_conv1d_2_act,tanh,0.0323,1
params_conv1d_3_act,tanh,0.6452,20
params_conv1d_3_act,None,0.3226,10
params_conv1d_3_act,swish,0.0323,1
params_dense_0_act,tanh,0.9677,30
params_dense_0_act,None,0.0323,1
params_dense_1_act,tanh,1.0,31
params_dense_2_act,tanh,1.0,31
params_se_0_se_act_expand,swish,0.6774,21
params_se_0_se_act_expand,tanh,0.3226,10
params_se_0_se_act_reduce,None,1.0,31
params_se_1_se_act_expand,tanh,0.5161,16
params_se_1_se_act_expand,swish,0.4194,13
params_se_1_se_act_expand,None,0.0645,2
params_se_1_se_act_reduce,relu,0.9677,30
params_se_1_se_act_reduce,None,0.0323,1
params_se_3_se_act_expand,None,0.9355,29
params_se_3_se_act_expand,relu,0.0323,1
params_se_3_se_act_expand,tanh,0.0323,1
params_se_3_se_act_reduce,swish,0.5806,18
params_se_3_se_act_reduce,relu,0.4194,13
params_se_cheb_0_se_act_expand,swish,0.9355,29
params_se_cheb_0_se_act_expand,relu,0.0645,2
params_se_cheb_0_se_act_reduce,None,0.9677,30
params_se_cheb_0_se_act_reduce,relu,0.0323,1
params_se_cheb_1_se_act_expand,tanh,0.9677,30
params_se_cheb_1_se_act_expand,swish,0.0323,1
params_se_cheb_1_se_act_reduce,tanh,0.6452,20
params_se_cheb_1_se_act_reduce,None,0.3548,11
