Parameter,Category,Fraction,Count
params_conv1d_0_act,relu,0.5714,12
params_conv1d_0_act,None,0.2381,5
params_conv1d_0_act,swish,0.1905,4
params_conv1d_1_act,None,0.7143,15
params_conv1d_1_act,tanh,0.1429,3
params_conv1d_1_act,swish,0.0952,2
params_conv1d_1_act,relu,0.0476,1
params_conv1d_2_act,relu,0.7143,15
params_conv1d_2_act,swish,0.0952,2
params_conv1d_2_act,tanh,0.0952,2
params_conv1d_2_act,None,0.0952,2
params_conv1d_3_act,swish,0.5714,12
params_conv1d_3_act,tanh,0.1905,4
params_conv1d_3_act,relu,0.1429,3
params_conv1d_3_act,None,0.0952,2
params_dense_0_act,tanh,0.9524,20
params_dense_0_act,relu,0.0476,1
params_dense_1_act,swish,0.9333,14
params_dense_1_act,tanh,0.0667,1
params_dense_2_act,tanh,1.0,4
params_se_0_se_act_expand,relu,0.5238,11
params_se_0_se_act_expand,None,0.2857,6
params_se_0_se_act_expand,tanh,0.1905,4
params_se_0_se_act_reduce,tanh,0.3333,7
params_se_0_se_act_reduce,swish,0.2857,6
params_se_0_se_act_reduce,relu,0.2381,5
params_se_0_se_act_reduce,None,0.1429,3
params_se_1_se_act_expand,relu,0.7619,16
params_se_1_se_act_expand,None,0.1429,3
params_se_1_se_act_expand,tanh,0.0952,2
params_se_1_se_act_reduce,relu,0.381,8
params_se_1_se_act_reduce,swish,0.2381,5
params_se_1_se_act_reduce,tanh,0.1905,4
params_se_1_se_act_reduce,None,0.1905,4
params_se_2_se_act_expand,None,0.381,8
params_se_2_se_act_expand,swish,0.2857,6
params_se_2_se_act_expand,tanh,0.1905,4
params_se_2_se_act_expand,relu,0.1429,3
params_se_2_se_act_reduce,relu,0.5714,12
params_se_2_se_act_reduce,swish,0.1905,4
params_se_2_se_act_reduce,tanh,0.1429,3
params_se_2_se_act_reduce,None,0.0952,2
params_se_3_se_act_expand,tanh,0.8571,18
params_se_3_se_act_expand,swish,0.0952,2
params_se_3_se_act_expand,None,0.0476,1
params_se_3_se_act_reduce,relu,0.8095,17
params_se_3_se_act_reduce,tanh,0.1905,4
