Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,322.99,198.02,256,64,512,64,512
params_conv1d_0_kernel_size,5.21,1.16,6,4,6,4,6
params_conv1d_1_filters,294.4,192.74,256,64,512,64,512
params_conv1d_1_kernel_size,3.66,1.4,4,2,4,2,6
params_conv1d_2_filters,235.5,156.57,256,128,256,64,512
params_conv1d_2_kernel_size,3.05,1.28,2,2,4,2,6
params_conv1d_3_filters,196.98,147.14,128,128,128,64,512
params_conv1d_3_kernel_size,3.29,1.35,4,2,4,2,6
params_dense_0_dropout,0.22,0.11,0.2,0.2,0.2,0,0.4
params_dense_0_units,402.45,72.91,400,350,450,300,500
params_dense_1_dropout,0.34,0.12,0.4,0.2,0.4,0,0.4
params_dense_1_units,472.73,79.7,450,400,550,350,600
params_dense_2_dropout,4.76e-02,0.12,0,0,0,0,0.4
params_dense_2_units,416.67,87.08,400,350,450,350,600
params_lr,4.87e-05,1.23e-05,4.61e-05,4.06e-05,5.75e-05,3.23e-05,7.13e-05
params_num_conv_layers,3.79,0.57,4,4,4,3,4
params_num_dense_layers,1.87,0.78,2,1,2,1,3
params_pool_size_0,5.09,1.81,5,4,7,2,8
params_pool_size_1,3.6,1.57,3,3,4,2,7
params_pool_size_2,4.59,2.02,4,3,6,2,8
params_pool_size_3,5.26,2.15,5,3,7,2,8
params_se_0_se_ratio,20.93,13.62,16,16,24,8,64
params_se_1_se_ratio,18.82,11.79,16,16,16,8,32
params_se_2_se_ratio,21.83,17.4,16,16,16,8,64
params_se_3_se_ratio,14.49,11.99,8,8,16,8,32
