Parameter,Category,Fraction,Count
params_conv1d_0_act,relu,0.381,8
params_conv1d_0_act,swish,0.2857,6
params_conv1d_0_act,None,0.2381,5
params_conv1d_0_act,tanh,0.0952,2
params_conv1d_1_act,tanh,0.4211,8
params_conv1d_1_act,None,0.3158,6
params_conv1d_1_act,swish,0.1579,3
params_conv1d_1_act,relu,0.1053,2
params_conv1d_2_act,tanh,0.5294,9
params_conv1d_2_act,relu,0.2941,5
params_conv1d_2_act,None,0.1176,2
params_conv1d_2_act,swish,0.0588,1
params_conv1d_3_act,swish,0.6,9
params_conv1d_3_act,tanh,0.2,3
params_conv1d_3_act,None,0.1333,2
params_conv1d_3_act,relu,0.0667,1
params_dense_0_act,tanh,0.5625,9
params_dense_0_act,None,0.1875,3
params_dense_0_act,swish,0.1875,3
params_dense_0_act,relu,0.0625,1
params_dense_1_act,tanh,0.3333,4
params_dense_1_act,relu,0.3333,4
params_dense_1_act,swish,0.1667,2
params_dense_1_act,None,0.1667,2
params_dense_2_act,None,0.5,2
params_dense_2_act,relu,0.25,1
params_dense_2_act,tanh,0.25,1
params_se_0_se_act_expand,None,0.4286,9
params_se_0_se_act_expand,swish,0.3333,7
params_se_0_se_act_expand,relu,0.1905,4
params_se_0_se_act_expand,tanh,0.0476,1
params_se_0_se_act_reduce,swish,0.381,8
params_se_0_se_act_reduce,tanh,0.381,8
params_se_0_se_act_reduce,None,0.1429,3
params_se_0_se_act_reduce,relu,0.0952,2
params_se_1_se_act_expand,None,0.3158,6
params_se_1_se_act_expand,relu,0.2632,5
params_se_1_se_act_expand,swish,0.2105,4
params_se_1_se_act_expand,tanh,0.2105,4
params_se_1_se_act_reduce,relu,0.5789,11
params_se_1_se_act_reduce,None,0.3158,6
params_se_1_se_act_reduce,swish,0.0526,1
params_se_1_se_act_reduce,tanh,0.0526,1
params_se_2_se_act_expand,swish,0.4706,8
params_se_2_se_act_expand,tanh,0.2941,5
params_se_2_se_act_expand,None,0.1765,3
params_se_2_se_act_expand,relu,0.0588,1
params_se_2_se_act_reduce,relu,0.4118,7
params_se_2_se_act_reduce,None,0.3529,6
params_se_2_se_act_reduce,swish,0.1765,3
params_se_2_se_act_reduce,tanh,0.0588,1
params_se_3_se_act_expand,tanh,0.4667,7
params_se_3_se_act_expand,None,0.2667,4
params_se_3_se_act_expand,swish,0.2,3
params_se_3_se_act_expand,relu,0.0667,1
params_se_3_se_act_reduce,relu,0.4,6
params_se_3_se_act_reduce,tanh,0.3333,5
params_se_3_se_act_reduce,swish,0.1333,2
params_se_3_se_act_reduce,None,0.1333,2
