"Parameter","Category","Fraction","Count"
params_conv1d_layer_0_act,tanh,0.5,33
params_conv1d_layer_0_act,sigmoid,0.2727,18
params_conv1d_layer_0_act,relu,0.2121,14
params_conv1d_layer_0_act,swish,0.0152,1
params_conv1d_layer_1_act,swish,0.6818,45
params_conv1d_layer_1_act,sigmoid,0.1818,12
params_conv1d_layer_1_act,relu,0.0909,6
params_conv1d_layer_1_act,tanh,0.0455,3
params_conv1d_layer_2_act,relu,0.6515,43
params_conv1d_layer_2_act,swish,0.197,13
params_conv1d_layer_2_act,sigmoid,0.0909,6
params_conv1d_layer_2_act,tanh,0.0606,4
params_conv1d_layer_3_act,swish,0.697,46
params_conv1d_layer_3_act,tanh,0.2121,14
params_conv1d_layer_3_act,relu,0.0606,4
params_conv1d_layer_3_act,sigmoid,0.0303,2
params_dense_as_conv1d_after_concat_act,swish,0.3846,5
params_dense_as_conv1d_after_concat_act,relu,0.3077,4
params_dense_as_conv1d_after_concat_act,tanh,0.1538,2
params_dense_as_conv1d_after_concat_act,sigmoid,0.1538,2
params_dense_as_conv1d_layer_0_act,tanh,0.5455,36
params_dense_as_conv1d_layer_0_act,relu,0.303,20
params_dense_as_conv1d_layer_0_act,swish,0.1364,9
params_dense_as_conv1d_layer_0_act,sigmoid,0.0152,1
params_dense_as_conv1d_layer_1_act,sigmoid,0.6441,38
params_dense_as_conv1d_layer_1_act,tanh,0.1356,8
params_dense_as_conv1d_layer_1_act,relu,0.1356,8
params_dense_as_conv1d_layer_1_act,swish,0.0847,5
params_dense_as_conv1d_layer_2_act,swish,0.6739,31
params_dense_as_conv1d_layer_2_act,tanh,0.1739,8
params_dense_as_conv1d_layer_2_act,relu,0.1087,5
params_dense_as_conv1d_layer_2_act,sigmoid,0.0435,2
params_output_strategy,flatten,0.4848,32
params_output_strategy,global_average_pooling,0.3182,21
params_output_strategy,max_pooling_concat,0.197,13
