Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_layer_0_filters,59.09,30.37,60,30,90,20,100
params_conv1d_layer_0_kernel_size,2.56,1.69,2,1,4.75,1,5
params_conv1d_layer_1_filters,50.61,33.23,45,20,80,10,100
params_conv1d_layer_1_kernel_size,3.15,1.51,3,2,5,1,5
params_conv1d_layer_2_filters,45.15,25.43,45,20,60,10,87.5
params_conv1d_layer_2_kernel_size,1.91,1.13,2,1,2,1,4.75
params_conv1d_layer_3_filters,62.73,31.94,70,32.5,90,10,100
params_conv1d_layer_3_kernel_size,2.88,1.21,3,2,4,1,5
params_dense_as_conv1d_after_concat_filters,115.29,53.16,120,80,160,40,184
params_dense_as_conv1d_layer_0_filters,743.94,226.43,825,600,900,312.5,1000
params_dense_as_conv1d_layer_1_filters,466.07,286.85,425,237.5,650,100,962.5
params_dense_as_conv1d_layer_2_filters,446.34,260.86,350,250,650,100,950
params_lr,2.39e-04,3.04e-04,6.69e-05,2.54e-05,4.76e-04,4.33e-06,8.88e-04
params_max_dense_layers,2.47,0.75,3,2,3,1,3
params_max_pool_size,26.07,12.74,27.5,20,38.75,5,40
params_max_pool_size_concat,3,0.87,3,2,3,2,4.2
params_strides_layer_0,1.06,0.24,1,1,1,1,1.75
params_strides_layer_1,1.48,0.5,1,1,2,1,2
params_strides_layer_2,1.48,0.5,1,1,2,1,2
params_strides_layer_3,1.02,0.12,1,1,1,1,1
