Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_0_filters,401.5774647887324,103.3086446350838,32.0,352.0,432.0,432.0,512.0
params_conv1d_0_kernel_size,3.267605633802817,1.1206853321437258,1.0,3.0,3.0,4.0,5.0
params_conv1d_1_filters,233.69014084507043,169.8990113104417,32.0,32.0,272.0,352.0,512.0
params_conv1d_1_kernel_size,2.0,1.3522468075656264,1.0,1.0,1.0,3.0,5.0
params_conv1d_2_filters,419.6923076923077,133.03069567548246,32.0,432.0,432.0,512.0,512.0
params_conv1d_2_kernel_size,2.41025641025641,1.0187182017755843,1.0,2.0,2.0,3.0,5.0
params_conv1d_3_filters,296.24242424242425,134.88491166153239,32.0,192.0,272.0,432.0,512.0
params_conv1d_3_kernel_size,3.696969696969697,1.0453721970202912,1.0,3.0,4.0,4.0,5.0
params_conv1d_4_filters,230.2608695652174,146.4629079296512,32.0,112.0,192.0,352.0,512.0
params_conv1d_4_kernel_size,2.739130434782609,1.009833078211346,1.0,2.0,3.0,3.0,5.0
params_conv1d_5_filters,305.3333333333333,138.38899938765059,32.0,252.0,352.0,372.0,512.0
params_conv1d_5_kernel_size,2.8333333333333335,1.1146408580454255,1.0,2.0,3.0,3.25,5.0
params_conv1d_6_filters,392.0,121.32600710482481,192.0,352.0,392.0,492.0,512.0
params_conv1d_6_kernel_size,3.6666666666666665,1.2110601416389968,2.0,3.0,3.5,4.75,5.0
params_conv1d_7_filters,298.6666666666667,244.40403706431147,32.0,192.0,352.0,432.0,512.0
params_conv1d_7_kernel_size,3.3333333333333335,2.081665999466133,1.0,2.5,4.0,4.5,5.0
params_conv_layers,3.6338028169014085,1.830218071469848,2.0,2.0,3.0,5.0,8.0
params_dense_0_dropout,0.19230769230769235,0.12500377068219268,0.1,0.1,0.1,0.30000000000000004,0.5
params_dense_0_units,190.3846153846154,48.54597733628859,150.0,150.0,175.0,200.0,300.0
params_dense_1_dropout,0.2576923076923077,0.14191004734852827,0.0,0.125,0.25,0.375,0.5
params_dense_1_units,265.38461538461536,46.40954808922571,150.0,250.0,300.0,300.0,300.0
params_dense_as_conv1d_after_concat_filters,129.16666666666666,45.016831868926,50.0,100.0,125.0,150.0,200.0
params_dense_layers,1.0985915492957747,0.7956117067562325,0.0,0.0,1.0,2.0,2.0
params_lr,0.00017043625698917248,0.00017312918356819006,1.0561296678049965e-06,3.399543368318595e-05,0.00013648338556242795,0.00023066039864762917,0.0008715435106901584
params_pool_size_flatten,28.536585365853657,5.273033097637496,10.0,30.0,30.0,30.0,40.0
