Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_0_filters,109.47945205479452,114.27730300383058,32.0,32.0,64.0,128.0,512.0
params_conv1d_0_kernel_size,3.006849315068493,0.3516593036958044,1.0,3.0,3.0,3.0,5.0
params_conv1d_1_filters,347.94520547945206,178.22090546655423,32.0,128.0,512.0,512.0,512.0
params_conv1d_1_kernel_size,3.0136986301369864,0.48320666243704313,1.0,3.0,3.0,3.0,5.0
params_conv1d_2_filters,207.013698630137,160.45814931351566,32.0,128.0,128.0,128.0,512.0
params_conv1d_2_kernel_size,3.7534246575342465,0.6534249585335643,1.0,4.0,4.0,4.0,5.0
params_conv1d_3_filters,416.54794520547944,166.6142356921587,32.0,256.0,512.0,512.0,512.0
params_conv1d_3_kernel_size,2.0273972602739727,0.5103089217266761,1.0,2.0,2.0,2.0,5.0
params_conv1d_4_filters,402.8689655172414,174.84788268237884,32.0,256.0,512.0,512.0,512.0
params_conv1d_4_kernel_size,1.3689655172413793,0.8872817040468245,1.0,1.0,1.0,1.0,5.0
params_conv1d_5_filters,124.36363636363636,132.60837444338068,32.0,64.0,64.0,128.0,512.0
params_conv1d_5_kernel_size,3.5,1.2104198771788934,1.0,3.0,3.0,5.0,5.0
params_conv1d_6_filters,128.0,134.53583868951756,32.0,64.0,64.0,64.0,512.0
params_conv1d_6_kernel_size,2.9210526315789473,1.0235491761874311,1.0,2.0,3.0,4.0,5.0
params_conv1d_7_filters,281.6,210.3254620819838,128.0,128.0,128.0,512.0,512.0
params_conv1d_7_kernel_size,3.6,1.140175425099138,2.0,3.0,4.0,4.0,5.0
params_conv_layers,5.291095890410959,0.7420989303243548,4.0,5.0,5.0,5.0,8.0
params_dense_0_dropout,0.37230769230769223,0.09465677450613326,0.0,0.4,0.4,0.4,0.5
params_dense_0_units,200.3846153846154,18.63710941487031,150.0,200.0,200.0,200.0,300.0
params_dense_1_dropout,0.12999999999999998,0.06651849686147775,0.0,0.1,0.1,0.2,0.5
params_dense_1_units,179.03846153846155,46.00904793442798,150.0,150.0,150.0,250.0,300.0
params_dense_conv1x1_0_filters,305.0,194.73058311420937,32.0,128.0,256.0,512.0,512.0
params_dense_conv1x1_1_filters,61.0,87.29926282805933,32.0,32.0,32.0,64.0,512.0
params_lr,0.00010257879630604211,4.963680745611126e-05,2.0761250218338484e-06,7.248852325987763e-05,9.372631743179845e-05,0.0001155340134569489,0.00038076131729856467
params_pool_size_0,3.732876712328767,0.7111396003174549,2.0,4.0,4.0,4.0,7.0
params_pool_size_1,3.2534246575342465,0.515220485756517,2.0,3.0,3.0,4.0,5.0
params_pool_size_2,3.7054794520547945,0.7337500367392283,2.0,4.0,4.0,4.0,7.0
params_pool_size_3,3.2465753424657535,0.7040544714518614,2.0,3.0,3.0,3.0,5.0
params_pool_size_4,4.620689655172414,0.8650776753111132,2.0,5.0,5.0,5.0,5.0
params_pool_size_5,2.772727272727273,0.4239151057857212,2.0,3.0,3.0,3.0,3.0
params_pool_size_6,2.8684210526315788,0.3425699874501044,2.0,3.0,3.0,3.0,3.0
params_pool_size_7,2.0,0.0,2.0,2.0,2.0,2.0,2.0
