Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_0_filters,262.0,194.5497365713971,32.0,64.0,256.0,512.0,512.0
params_conv1d_0_kernel_size,4.5625,0.963932916061417,2.0,5.0,5.0,5.0,5.0
params_conv1d_1_filters,176.0,143.10835055998655,64.0,112.0,128.0,160.0,512.0
params_conv1d_1_kernel_size,2.75,1.0645812948447542,1.0,2.75,3.0,3.0,5.0
params_conv1d_2_filters,176.0,144.53234932014354,32.0,128.0,128.0,160.0,512.0
params_conv1d_2_kernel_size,1.75,1.390443574307614,1.0,1.0,1.0,2.0,5.0
params_conv1d_3_filters,244.0,221.35582215067217,32.0,56.0,128.0,512.0,512.0
params_conv1d_3_kernel_size,4.1875,1.4705441169852742,1.0,4.0,5.0,5.0,5.0
params_conv1d_4_filters,68.26666666666667,64.98292816102513,32.0,32.0,32.0,96.0,256.0
params_conv1d_4_kernel_size,3.466666666666667,1.505545305418162,1.0,2.5,3.0,5.0,5.0
params_conv1d_5_filters,182.85714285714286,187.192561137068,32.0,64.0,96.0,224.0,512.0
params_conv1d_5_kernel_size,1.5,1.286019499792345,1.0,1.0,1.0,1.0,5.0
params_conv1d_6_filters,413.53846153846155,158.10155775356094,128.0,256.0,512.0,512.0,512.0
params_conv1d_6_kernel_size,4.3076923076923075,1.3155870289605438,2.0,5.0,5.0,5.0,5.0
params_conv1d_7_filters,234.66666666666666,242.3000894208117,64.0,96.0,128.0,320.0,512.0
params_conv1d_7_kernel_size,3.0,1.0,2.0,2.5,3.0,3.5,4.0
params_conv_layers,6.8125,1.0468205831628137,4.0,7.0,7.0,7.0,8.0
params_dense_0_dropout,0.32142857142857145,0.08925823753039809,0.2,0.22500000000000003,0.35000000000000003,0.4,0.4
params_dense_0_units,242.85714285714286,26.72612419124244,200.0,250.0,250.0,250.0,300.0
params_dense_1_dropout,0.25000000000000006,0.11602387022306429,0.0,0.2,0.30000000000000004,0.30000000000000004,0.4
params_dense_1_units,235.71428571428572,30.562492275106326,150.0,250.0,250.0,250.0,250.0
params_dense_conv1x1_0_filters,288.0,316.7838379715733,64.0,176.0,288.0,400.0,512.0
params_dense_conv1x1_1_filters,512.0,0.0,512.0,512.0,512.0,512.0,512.0
params_lr,3.2144948664789346e-05,1.8831497092345337e-05,1.7364526596785216e-06,2.29975892731319e-05,2.842338058141188e-05,4.346886928093668e-05,6.738748418703142e-05
params_pool_size_0,2.1875,0.5439056290693574,2.0,2.0,2.0,2.0,4.0
params_pool_size_1,2.75,0.4472135954999579,2.0,2.75,3.0,3.0,3.0
params_pool_size_2,2.125,0.3415650255319866,2.0,2.0,2.0,2.0,3.0
params_pool_size_3,3.0,1.1547005383792515,2.0,2.75,3.0,3.0,7.0
params_pool_size_4,2.066666666666667,0.2581988897471611,2.0,2.0,2.0,2.0,3.0
params_pool_size_5,2.7142857142857144,0.46880723093849547,2.0,2.25,3.0,3.0,3.0
params_pool_size_6,2.769230769230769,0.4385290096535146,2.0,3.0,3.0,3.0,3.0
params_pool_size_7,2.0,0.0,2.0,2.0,2.0,2.0,2.0
