"Parameter","Category","Fraction","Count"
params_conv1d_0_act,sigmoid,0.5586,162
params_conv1d_0_act,tanh,0.3034,88
params_conv1d_0_act,relu,0.1069,31
params_conv1d_0_act,swish,0.031,9
params_conv1d_1_act,swish,0.4655,135
params_conv1d_1_act,relu,0.2897,84
params_conv1d_1_act,tanh,0.1276,37
params_conv1d_1_act,sigmoid,0.1172,34
params_conv1d_2_act,swish,0.4897,142
params_conv1d_2_act,relu,0.3517,102
params_conv1d_2_act,tanh,0.1207,35
params_conv1d_2_act,sigmoid,0.0379,11
params_conv1d_3_act,sigmoid,0.8069,234
params_conv1d_3_act,swish,0.0931,27
params_conv1d_3_act,relu,0.0655,19
params_conv1d_3_act,tanh,0.0345,10
params_dense_1_act,sigmoid,0.7793,226
params_dense_1_act,tanh,0.0897,26
params_dense_1_act,relu,0.069,20
params_dense_1_act,swish,0.0621,18
params_dense_2_act,sigmoid,0.6586,191
params_dense_2_act,relu,0.1448,42
params_dense_2_act,tanh,0.131,38
params_dense_2_act,swish,0.0655,19
