Time: 2025-07-17 10:57:42 -03, PID: 138809, MEM: 0.87%, 0.55 GB, CPU: 89.90%
Time: 2025-07-17 10:57:45 -03, PID: 138809, MEM: 3.70%, 2.31 GB, CPU: 99.90%
Time: 2025-07-17 10:57:48 -03, PID: 138809, MEM: 4.67%, 2.92 GB, CPU: 112.00%
Time: 2025-07-17 10:57:51 -03, PID: 138809, MEM: 5.33%, 3.32 GB, CPU: 100.90%
Time: 2025-07-17 10:57:54 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 123.90%
Time: 2025-07-17 10:57:57 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 120.00%
Time: 2025-07-17 10:58:00 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 116.90%
Time: 2025-07-17 10:58:03 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 110.90%
Time: 2025-07-17 10:58:06 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 114.90%
Time: 2025-07-17 10:58:09 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 118.00%
Time: 2025-07-17 10:58:12 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 117.90%
Time: 2025-07-17 10:58:15 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 119.00%
Time: 2025-07-17 10:58:18 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 119.90%
Time: 2025-07-17 10:58:21 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 111.90%
Time: 2025-07-17 10:58:24 -03, PID: 138809, MEM: 5.79%, 3.61 GB, CPU: 119.90%
Time: 2025-07-17 10:58:27 -03, PID: 138809, MEM: 6.07%, 3.79 GB, CPU: 80.90%
Time: 2025-07-17 10:58:30 -03, PID: 138809, MEM: 6.07%, 3.79 GB, CPU: 28.00%
Time: 2025-07-17 10:58:33 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 50.00%
Time: 2025-07-17 10:58:36 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 10:58:39 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 10:58:42 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 10:58:45 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 10:58:48 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 10:58:51 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 10:58:54 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 10:58:57 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 10:59:00 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 10:59:03 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 10:59:06 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 10:59:09 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 10:59:12 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 24.00%
Time: 2025-07-17 10:59:15 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 10:59:18 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 10:59:21 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 10:59:24 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 10:59:27 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 10:59:30 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 125.90%
Time: 2025-07-17 10:59:33 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 10:59:36 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 10:59:39 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 10:59:42 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 10:59:45 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 10:59:49 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 10:59:52 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 25.00%
Time: 2025-07-17 10:59:55 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 10:59:58 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:00:01 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 115.00%
Time: 2025-07-17 11:00:04 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:00:07 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 118.00%
Time: 2025-07-17 11:00:10 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 113.00%
Time: 2025-07-17 11:00:13 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:00:16 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:00:19 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:00:22 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:00:25 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:00:28 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:00:31 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:00:34 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 125.90%
Time: 2025-07-17 11:00:37 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:00:40 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:00:43 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:00:46 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:00:49 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 108.90%
Time: 2025-07-17 11:00:52 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 112.00%
Time: 2025-07-17 11:00:55 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:00:58 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:01:01 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:01:04 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:01:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 11:01:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 28.00%
Time: 2025-07-17 11:01:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:01:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:01:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 11:01:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:01:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:01:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:01:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:01:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:01:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 106.90%
