beam_index,count,relative_frequency
0,4,0.0004150239
1,0,0.0000000000
2,0,0.0000000000
3,0,0.0000000000
4,1,0.0001037560
5,15,0.0015563395
6,7,0.0007262918
7,0,0.0000000000
8,0,0.0000000000
9,0,0.0000000000
10,0,0.0000000000
11,0,0.0000000000
12,0,0.0000000000
13,0,0.0000000000
14,0,0.0000000000
15,0,0.0000000000
16,51,0.0052915543
17,0,0.0000000000
18,0,0.0000000000
19,0,0.0000000000
20,0,0.0000000000
21,0,0.0000000000
22,0,0.0000000000
23,1,0.0001037560
24,0,0.0000000000
25,0,0.0000000000
26,0,0.0000000000
27,0,0.0000000000
28,0,0.0000000000
29,6,0.0006225358
30,41,0.0042539946
31,19,0.0019713634
32,1,0.0001037560
33,0,0.0000000000
34,0,0.0000000000
35,1,0.0001037560
36,0,0.0000000000
37,6,0.0006225358
38,22,0.0022826313
39,0,0.0000000000
40,0,0.0000000000
41,0,0.0000000000
42,0,0.0000000000
43,0,0.0000000000
44,0,0.0000000000
45,0,0.0000000000
46,0,0.0000000000
47,0,0.0000000000
48,46,0.0047727744
49,40,0.0041502386
50,5,0.0005187798
51,0,0.0000000000
52,0,0.0000000000
53,0,0.0000000000
54,0,0.0000000000
55,0,0.0000000000
56,0,0.0000000000
57,0,0.0000000000
58,4,0.0004150239
59,6,0.0006225358
60,10,0.0010375597
61,4,0.0004150239
62,12,0.0012450716
63,1,0.0001037560
64,0,0.0000000000
65,0,0.0000000000
66,0,0.0000000000
67,0,0.0000000000
68,0,0.0000000000
69,3,0.0003112679
70,0,0.0000000000
71,0,0.0000000000
72,0,0.0000000000
73,0,0.0000000000
74,0,0.0000000000
75,3,0.0003112679
76,6,0.0006225358
77,0,0.0000000000
78,2,0.0002075119
79,2,0.0002075119
80,1,0.0001037560
81,21,0.0021788753
82,39,0.0040464827
83,22,0.0022826313
84,20,0.0020751193
85,8,0.0008300477
86,2,0.0002075119
87,4,0.0004150239
88,1,0.0001037560
89,0,0.0000000000
90,2,0.0002075119
91,3,0.0003112679
92,9,0.0009338037
93,9,0.0009338037
94,2,0.0002075119
95,4,0.0004150239
96,2,0.0002075119
97,0,0.0000000000
98,0,0.0000000000
99,0,0.0000000000
100,2,0.0002075119
101,8,0.0008300477
102,0,0.0000000000
103,0,0.0000000000
104,2,0.0002075119
105,6,0.0006225358
106,6,0.0006225358
107,2,0.0002075119
108,1,0.0001037560
109,0,0.0000000000
110,8,0.0008300477
111,0,0.0000000000
112,0,0.0000000000
113,1,0.0001037560
114,2,0.0002075119
115,20,0.0020751193
116,34,0.0035277028
117,50,0.0051877983
118,69,0.0071591617
119,96,0.0099605727
120,92,0.0095455489
121,52,0.0053953102
122,46,0.0047727744
123,75,0.0077816974
124,19,0.0019713634
125,1,0.0001037560
126,1,0.0001037560
127,8,0.0008300477
128,836,0.0867399875
129,0,0.0000000000
130,2,0.0002075119
131,8,0.0008300477
132,71,0.0073666736
133,381,0.0395310230
134,161,0.0167047105
135,1,0.0001037560
136,1,0.0001037560
137,0,0.0000000000
138,0,0.0000000000
