Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_dense_0_dropout,0.12,0.17,0.0,0.0,0.2,0,0.4
params_dense_0_units,437.5,117.2,500.0,300.0,550.0,300,592.5
params_dense_1_dropout,1.25e-02,5.00e-02,0.0,0.0,0.0,0,5.00e-02
params_dense_1_units,453.12,114.7,450.0,350.0,550.0,287.5,600
params_dense_2_dropout,0.13,0.17,0.0,0.0,0.2,0,0.4
params_dense_2_units,394.44,140.19,350.0,300.0,500.0,250,600
params_dense_3_dropout,0.27,0.23,0.4,0.2,0.4,4.00e-02,0.4
params_dense_3_units,450,180.28,500.0,375.0,550.0,275,590
params_dense_4_dropout,0.2,0.28,0.2,0.1,0.3,2.00e-02,0.38
params_dense_4_units,425,176.78,425.0,362.5,487.5,312.5,537.5
params_num_dense_layers,1.54,1.15,1.0,1.0,2.0,0,3.65
