Parameter,Category,Fraction,Count
params_dense_0_act,sigmoid,0.7586,22
params_dense_0_act,relu,0.1034,3
params_dense_0_act,elu,0.069,2
params_dense_0_act,silu,0.0345,1
params_dense_0_act,tanh,0.0345,1
params_dense_1_act,tanh,0.3333,3
params_dense_1_act,gelu,0.2222,2
params_dense_1_act,relu,0.2222,2
params_dense_1_act,none,0.1111,1
params_dense_1_act,elu,0.1111,1
params_dense_2_act,silu,0.6,3
params_dense_2_act,elu,0.2,1
params_dense_2_act,none,0.2,1
params_dense_3_act,relu,1.0,1
params_dense_4_act,silu,1.0,1
params_optimizer,adamw,0.8438,27
params_optimizer,sgd,0.0625,2
params_optimizer,rmsprop,0.0312,1
params_optimizer,adam,0.0312,1
params_optimizer,lion,0.0312,1
