Parameter,Category,Fraction,Count
params_conv1d_0_act,none,0.2787,80
params_conv1d_0_act,gelu,0.2091,60
params_conv1d_0_act,relu,0.1882,54
params_conv1d_0_act,elu,0.1533,44
params_conv1d_0_act,tanh,0.1185,34
params_conv1d_0_act,silu,0.0523,15
params_conv1d_1_act,elu,0.4481,108
params_conv1d_1_act,silu,0.2573,62
params_conv1d_1_act,none,0.1784,43
params_conv1d_1_act,relu,0.0581,14
params_conv1d_1_act,gelu,0.029,7
params_conv1d_1_act,tanh,0.0249,6
params_conv1d_1_act,sigmoid,0.0041,1
params_dense_0_act,sigmoid,0.7951,225
params_dense_0_act,tanh,0.1767,50
params_dense_0_act,gelu,0.0177,5
params_dense_0_act,relu,0.0035,1
params_dense_0_act,elu,0.0035,1
params_dense_0_act,silu,0.0035,1
params_pooling_type,max,0.9826,282
params_pooling_type,flatten,0.0105,3
params_pooling_type,average,0.007,2
