Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,128,0,128,128,128,128,128
params_conv1d_0_kernel_size,8.69,0.48,9,8,9,8,9
params_conv1d_1_filters,64,0,64,64,64,64,64
params_conv1d_1_kernel_size,1,0,1,1,1,1,1
params_dense_0_dropout,0.5,0,0.5,0.5,0.5,0.5,0.5
params_dense_0_units,305.77,10.96,300,300,300,300,325
params_learning_rate,2.51e-03,4.08e-04,2.41e-03,2.27e-03,2.78e-03,1.98e-03,3.17e-03
params_num_conv_layers,2,0,2,2,2,2,2
params_num_dense_layers,1,0,1,1,1,1,1
params_pool_size_0,1,0,1,1,1,1,1
params_pool_size_1,4,0,4,4,4,4,4
