Parameter,Category,Fraction,Count
params_conv2d_0_act,elu,0.9474,36
params_conv2d_0_act,none,0.0263,1
params_conv2d_0_act,gelu,0.0263,1
params_conv2d_1_act,none,0.7105,27
params_conv2d_1_act,relu,0.2895,11
params_conv2d_2_act,gelu,0.7105,27
params_conv2d_2_act,elu,0.1579,6
params_conv2d_2_act,relu,0.1053,4
params_conv2d_2_act,tanh,0.0263,1
params_conv2d_3_act,,1.0,38
params_conv2d_4_act,,1.0,38
params_coord_dense_0_act,elu,0.7368,28
params_coord_dense_0_act,tanh,0.1316,5
params_coord_dense_0_act,none,0.1053,4
params_coord_dense_0_act,sigmoid,0.0263,1
params_coord_dense_1_act,,1.0,38
params_fusion_dense_0_act,none,0.8421,32
params_fusion_dense_0_act,gelu,0.0789,3
params_fusion_dense_0_act,elu,0.0263,1
params_fusion_dense_0_act,silu,0.0263,1
params_fusion_dense_0_act,sigmoid,0.0263,1
params_fusion_dense_1_act,,1.0,38
params_optimizer,adamw,0.9474,36
params_optimizer,adam,0.0526,2
