Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv2d_0_filters,139.79,48.46,128,128,128,91.2,256
params_conv2d_1_filters,94.32,10.38,96,96,96,96,96
params_conv2d_2_filters,128,0,128,128,128,128,128
params_conv2d_3_filters,No data,No data,No data,No data,No data,No data,No data
params_conv2d_4_filters,No data,No data,No data,No data,No data,No data,No data
params_coord_dense_0_dropout,0.39,4.87e-02,0.4,0.4,0.4,0.4,0.4
params_coord_dense_0_units,17.26,5.74,16,16,16,16,18.4
params_coord_dense_1_dropout,No data,No data,No data,No data,No data,No data,No data
params_coord_dense_1_units,No data,No data,No data,No data,No data,No data,No data
params_coord_num_layers,1,0,1,1,1,1,1
params_fusion_dense_0_dropout,2.63e-03,1.62e-02,0,0,0,0,0
params_fusion_dense_0_units,64,0,64,64,64,64,64
params_fusion_dense_1_dropout,No data,No data,No data,No data,No data,No data,No data
params_fusion_dense_1_units,No data,No data,No data,No data,No data,No data,No data
params_fusion_layers,1,0,1,1,1,1,1
params_learning_rate,5.71e-04,8.66e-05,5.58e-04,5.02e-04,6.31e-04,4.59e-04,6.96e-04
params_num_conv_layers,3,0,3,3,3,3,3
params_pool2d_height_0,1,0,1,1,1,1,1
params_pool2d_height_1,3,0,3,3,3,3,3
params_pool2d_height_2,3.03,0.16,3,3,3,3,3
params_pool2d_height_3,No data,No data,No data,No data,No data,No data,No data
params_pool2d_height_4,No data,No data,No data,No data,No data,No data,No data
params_pool2d_width_0,3.97,0.16,4,4,4,4,4
params_pool2d_width_1,4,0,4,4,4,4,4
params_pool2d_width_2,2.92,0.27,3,3,3,2,3
params_pool2d_width_3,No data,No data,No data,No data,No data,No data,No data
params_pool2d_width_4,No data,No data,No data,No data,No data,No data,No data
