Parameter,Category,Fraction,Count
params_conv2d_0_act,silu,0.494,205
params_conv2d_0_act,gelu,0.188,78
params_conv2d_0_act,relu,0.1494,62
params_conv2d_0_act,none,0.0699,29
params_conv2d_0_act,elu,0.0651,27
params_conv2d_0_act,tanh,0.0193,8
params_conv2d_0_act,sigmoid,0.0145,6
params_conv2d_1_act,silu,0.4361,181
params_conv2d_1_act,elu,0.241,100
params_conv2d_1_act,none,0.1373,57
params_conv2d_1_act,tanh,0.0771,32
params_conv2d_1_act,relu,0.053,22
params_conv2d_1_act,gelu,0.0458,19
params_conv2d_1_act,sigmoid,0.0072,3
params_conv2d_1_act,,0.0024,1
params_conv2d_2_act,silu,0.3639,151
params_conv2d_2_act,none,0.2578,107
params_conv2d_2_act,elu,0.1687,70
params_conv2d_2_act,gelu,0.0867,36
params_conv2d_2_act,relu,0.0602,25
params_conv2d_2_act,tanh,0.0241,10
params_conv2d_2_act,sigmoid,0.0217,9
params_conv2d_2_act,,0.0169,7
params_conv2d_3_act,,0.9952,413
params_conv2d_3_act,silu,0.0024,1
params_conv2d_3_act,relu,0.0024,1
params_conv2d_4_act,,0.9976,414
params_conv2d_4_act,gelu,0.0024,1
params_coord_dense_0_act,relu,0.3735,155
params_coord_dense_0_act,none,0.2241,93
params_coord_dense_0_act,elu,0.1566,65
params_coord_dense_0_act,sigmoid,0.1253,52
params_coord_dense_0_act,gelu,0.0458,19
params_coord_dense_0_act,tanh,0.041,17
params_coord_dense_0_act,silu,0.0337,14
params_coord_dense_1_act,,0.5422,225
params_coord_dense_1_act,none,0.2048,85
params_coord_dense_1_act,elu,0.1325,55
params_coord_dense_1_act,tanh,0.0482,20
params_coord_dense_1_act,silu,0.0289,12
params_coord_dense_1_act,gelu,0.0241,10
params_coord_dense_1_act,sigmoid,0.0193,8
params_fusion_dense_0_act,elu,0.3952,164
params_fusion_dense_0_act,relu,0.212,88
params_fusion_dense_0_act,tanh,0.094,39
params_fusion_dense_0_act,gelu,0.094,39
params_fusion_dense_0_act,none,0.0892,37
params_fusion_dense_0_act,sigmoid,0.0723,30
params_fusion_dense_0_act,silu,0.0434,18
params_fusion_dense_1_act,,0.6072,252
params_fusion_dense_1_act,none,0.1229,51
params_fusion_dense_1_act,sigmoid,0.1157,48
params_fusion_dense_1_act,silu,0.0771,32
params_fusion_dense_1_act,elu,0.0386,16
params_fusion_dense_1_act,tanh,0.0241,10
params_fusion_dense_1_act,gelu,0.0145,6
