Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv2d_0_filters,200.4,87.57,256,96,256,32,256
params_conv2d_0_kernel_h,4.56,0.9,4,4,5,4,7
params_conv2d_0_kernel_w,3.49,0.74,3,3,4,3,5
params_conv2d_1_filters,207.38,75.96,256,128,256,64,256
params_conv2d_1_kernel_h,5.04,1.42,6,3,6,3,6
params_conv2d_1_kernel_w,5.05,0.68,5,5,5.75,4,6
params_conv2d_2_filters,116.71,58.86,128,96,128,32,256
params_conv2d_2_kernel_h,5.82,1.17,6,5,7,3,7
params_conv2d_2_kernel_w,3.39,0.97,3,3,3,3,6
params_conv2d_3_filters,176,113.14,176,136,216,104,248
params_conv2d_3_kernel_h,6.5,0.71,6.5,6.25,6.75,6.05,6.95
params_conv2d_3_kernel_w,5,2.83,5,4,6,3.2,6.8
params_conv2d_4_filters,128,,128,128,128,128,128
params_conv2d_4_kernel_h,5,,5,5,5,5,5
params_conv2d_4_kernel_w,5,,5,5,5,5,5
params_coord_dense_0_dropout,0.25,0.18,0.1,0.1,0.4,0.1,0.5
params_coord_dense_0_units,69.55,24.16,80,64,80,16,96
params_coord_dense_1_dropout,0.21,0.11,0.3,0.1,0.3,0.1,0.3
params_coord_dense_1_units,54.4,19.04,64,32,64,16,80
params_coord_num_layers,1.46,0.5,1,1,2,1,2
params_fusion_dense_0_dropout,0.34,0.11,0.3,0.3,0.4,0.2,0.5
params_fusion_dense_0_units,147.2,58.88,160,64,192,64,224
params_fusion_dense_1_dropout,0.31,6.18e-02,0.3,0.3,0.3,0.2,0.4
params_fusion_dense_1_units,102.28,36.41,96,80,128,64,160
params_fusion_layers,1.39,0.49,1,1,2,1,2
params_learning_rate,5.24e-04,6.31e-04,4.43e-04,3.39e-04,5.52e-04,1.85e-04,8.51e-04
params_num_conv_layers,2.99,0.19,3,3,3,3,3
params_pool2d_height_0,2.98,0.24,3,3,3,3,3
params_pool2d_height_1,1.99,0.16,2,2,2,2,2
params_pool2d_height_2,2.22,0.5,2,2,2,2,3
params_pool2d_height_3,1,0,1,1,1,1,1
params_pool2d_height_4,1,,1,1,1,1,1
params_pool2d_width_0,3.57,0.72,4,3,4,2,4
params_pool2d_width_1,3.95,0.25,4,4,4,4,4
params_pool2d_width_2,3.91,0.42,4,4,4,4,4
params_pool2d_width_3,1,0,1,1,1,1,1
params_pool2d_width_4,1,,1,1,1,1,1
