Parameter,Category,Fraction,Count
params_conv2d_0_act,none,0.5741,31
params_conv2d_0_act,silu,0.3889,21
params_conv2d_0_act,relu,0.037,2
params_conv2d_0_norm,batch,1.0,54
params_conv2d_1_act,silu,0.7593,41
params_conv2d_1_act,relu,0.2037,11
params_conv2d_1_act,none,0.037,2
params_conv2d_1_norm,group,1.0,54
params_conv2d_2_act,silu,0.7037,38
params_conv2d_2_act,none,0.2593,14
params_conv2d_2_act,sigmoid,0.037,2
params_conv2d_2_norm,batch,1.0,54
params_coord_dense_0_act,none,0.9444,51
params_coord_dense_0_act,relu,0.0556,3
params_coord_dense_1_act,,0.963,52
params_coord_dense_1_act,relu,0.0185,1
params_coord_dense_1_act,none,0.0185,1
params_fusion_dense_0_act,relu,0.9815,53
params_fusion_dense_0_act,elu,0.0185,1
params_output_head,softmax,0.7593,41
params_output_head,sigmoid,0.2407,13
