epoch,train_loss,train_top_1_accuracy,val_loss,val_top_1_accuracy
1,"tf.Tensor(0.9594944, shape=(), dtype=float32)","tf.Tensor(0.24299274, shape=(), dtype=float32)",0.00390625,0.350156307220459
2,"tf.Tensor(0.6707166, shape=(), dtype=float32)","tf.Tensor(0.3792295, shape=(), dtype=float32)",0.00390625,0.4082179665565491
3,"tf.Tensor(0.55337536, shape=(), dtype=float32)","tf.Tensor(0.44410944, shape=(), dtype=float32)",0.00390625,0.44975435733795166
4,"tf.Tensor(0.5058466, shape=(), dtype=float32)","tf.Tensor(0.48140705, shape=(), dtype=float32)",0.00390625,0.4819115698337555
5,"tf.Tensor(0.4589234, shape=(), dtype=float32)","tf.Tensor(0.5026242, shape=(), dtype=float32)",0.00390625,0.4962036609649658
6,"tf.Tensor(0.43476698, shape=(), dtype=float32)","tf.Tensor(0.51278615, shape=(), dtype=float32)",0.00390625,0.5096024870872498
7,"tf.Tensor(0.42422682, shape=(), dtype=float32)","tf.Tensor(0.519933, shape=(), dtype=float32)",0.00390625,0.5113890171051025
8,"tf.Tensor(0.39745784, shape=(), dtype=float32)","tf.Tensor(0.5275265, shape=(), dtype=float32)",0.00390625,0.5221080780029297
9,"tf.Tensor(0.4031273, shape=(), dtype=float32)","tf.Tensor(0.5340034, shape=(), dtype=float32)",0.00390625,0.5256810784339905
10,"tf.Tensor(0.39501143, shape=(), dtype=float32)","tf.Tensor(0.5433836, shape=(), dtype=float32)",0.00390625,0.5247878432273865
11,"tf.Tensor(0.3805955, shape=(), dtype=float32)","tf.Tensor(0.5496371, shape=(), dtype=float32)",0.00390625,0.5207682251930237
12,"tf.Tensor(0.35976693, shape=(), dtype=float32)","tf.Tensor(0.5526521, shape=(), dtype=float32)",0.00390625,0.5319339036941528
13,"tf.Tensor(0.34939972, shape=(), dtype=float32)","tf.Tensor(0.5551089, shape=(), dtype=float32)",0.00390625,0.5350602865219116
14,"tf.Tensor(0.340748, shape=(), dtype=float32)","tf.Tensor(0.5612507, shape=(), dtype=float32)",0.00390625,0.5323805212974548
15,"tf.Tensor(0.34836596, shape=(), dtype=float32)","tf.Tensor(0.56460077, shape=(), dtype=float32)",0.00390625,0.5395265817642212
16,"tf.Tensor(0.32991868, shape=(), dtype=float32)","tf.Tensor(0.5652708, shape=(), dtype=float32)",0.00390625,0.5256810784339905
