Parameter,Category,Fraction,Count
params_cnn_dense_0_act,elu,0.4,2
params_cnn_dense_0_act,silu,0.2,1
params_cnn_dense_0_act,none,0.2,1
params_cnn_dense_0_act,tanh,0.2,1
params_cnn_dense_1_act,silu,0.5,1
params_cnn_dense_1_act,tanh,0.5,1
params_cnn_dense_2_act,gelu,1.0,1
params_conv1d_0_act,gelu,0.331,96
params_conv1d_0_act,sigmoid,0.2621,76
params_conv1d_0_act,silu,0.2586,75
params_conv1d_0_act,none,0.0897,26
params_conv1d_0_act,tanh,0.031,9
params_conv1d_0_act,elu,0.0138,4
params_conv1d_0_act,relu,0.0138,4
params_conv1d_1_act,relu,0.4414,128
params_conv1d_1_act,elu,0.2655,77
params_conv1d_1_act,silu,0.1621,47
params_conv1d_1_act,gelu,0.0862,25
params_conv1d_1_act,none,0.0241,7
params_conv1d_1_act,tanh,0.0138,4
params_conv1d_1_act,sigmoid,0.0069,2
params_conv1d_2_act,relu,0.4549,131
params_conv1d_2_act,silu,0.2257,65
params_conv1d_2_act,gelu,0.191,55
params_conv1d_2_act,elu,0.0903,26
params_conv1d_2_act,none,0.0208,6
params_conv1d_2_act,sigmoid,0.0174,5
params_conv1d_3_act,gelu,0.6232,177
params_conv1d_3_act,relu,0.1866,53
params_conv1d_3_act,elu,0.1092,31
params_conv1d_3_act,silu,0.0458,13
params_conv1d_3_act,none,0.0246,7
params_conv1d_3_act,tanh,0.007,2
params_conv1d_3_act,sigmoid,0.0035,1
params_dense_0_act,sigmoid,0.7254,206
params_dense_0_act,gelu,0.1268,36
params_dense_0_act,tanh,0.0739,21
params_dense_0_act,relu,0.0528,15
params_dense_0_act,elu,0.0106,3
params_dense_0_act,silu,0.007,2
params_dense_0_act,none,0.0035,1
params_dense_1_act,tanh,0.4444,4
params_dense_1_act,relu,0.2222,2
params_dense_1_act,silu,0.2222,2
params_dense_1_act,none,0.1111,1
params_dense_2_act,silu,0.6667,2
params_dense_2_act,relu,0.3333,1
params_optimizer,adam,0.5103,148
params_optimizer,adamw,0.3483,101
params_optimizer,rmsprop,0.1241,36
params_optimizer,lion,0.0172,5
params_pooling_type,flatten,0.9793,284
params_pooling_type,max,0.0172,5
params_pooling_type,average,0.0034,1
