Parameter,Category,Fraction,Count
params_conv1d_0_act,none,0.7679,43
params_conv1d_0_act,elu,0.1607,9
params_conv1d_0_act,relu,0.0536,3
params_conv1d_0_act,sigmoid,0.0179,1
params_conv1d_1_act,silu,0.7679,43
params_conv1d_1_act,relu,0.2143,12
params_conv1d_1_act,none,0.0179,1
params_conv1d_2_act,relu,0.4286,24
params_conv1d_2_act,silu,0.375,21
params_conv1d_2_act,gelu,0.125,7
params_conv1d_2_act,none,0.0357,2
params_conv1d_2_act,elu,0.0357,2
params_conv1d_3_act,gelu,0.8929,50
params_conv1d_3_act,elu,0.0536,3
params_conv1d_3_act,relu,0.0179,1
params_conv1d_3_act,none,0.0179,1
params_conv1d_3_act,silu,0.0179,1
params_dense_0_act,tanh,0.9107,51
params_dense_0_act,gelu,0.0357,2
params_dense_0_act,sigmoid,0.0357,2
params_dense_0_act,silu,0.0179,1
params_dense_1_act,gelu,0.5,28
params_dense_1_act,silu,0.25,14
params_dense_1_act,tanh,0.1964,11
params_dense_1_act,elu,0.0536,3
params_dense_2_act,silu,1.0,1
params_optimizer,adamw,0.9286,52
params_optimizer,adam,0.0714,4
params_pooling_type,flatten,1.0,56
