Parameter,Category,Fraction,Count
params_conv1d_0_act,none,0.6915,65
params_conv1d_0_act,elu,0.2128,20
params_conv1d_0_act,tanh,0.0638,6
params_conv1d_0_act,relu,0.0106,1
params_conv1d_0_act,gelu,0.0106,1
params_conv1d_0_act,silu,0.0106,1
params_conv1d_1_act,sigmoid,0.9787,92
params_conv1d_1_act,tanh,0.0213,2
params_conv1d_2_act,gelu,0.8617,81
params_conv1d_2_act,relu,0.0745,7
params_conv1d_2_act,none,0.0426,4
params_conv1d_2_act,elu,0.0213,2
params_conv1d_3_act,none,1.0,94
params_optimizer,lion,1.0,94
params_pooling_type,flatten,1.0,94
params_use_cnn_as_dense,False,0.9787,92
params_use_cnn_as_dense,True,0.0213,2
