param_count,model_size_mb,flops,params,training_memory_mb
870523817,3320.784824371338,1849726633,"{'num_conv_layers': 1, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'pooling_type': 'flatten', 'num_dense_layers': 1, 'dense_0_units': 425, 'dense_0_dropout': 0.5, 'dense_0_act': 'relu', 'learning_rate': 0.007336840603929844}",19358.6573638916
6611200,25.2197265625,50766522112,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 8, 'conv1d_0_act': 'relu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 6, 'conv1d_1_act': 'gelu', 'pool_size_1': 1, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.00012289651979753092}",17176.2392578125
312265922,1191.1999588012695,21669676226,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'gelu', 'pool_size_0': 2, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 5, 'conv1d_1_act': 'elu', 'pool_size_1': 3, 'pooling_type': 'flatten', 'num_dense_layers': 1, 'dense_0_units': 450, 'dense_0_dropout': 0.2, 'dense_0_act': 'tanh', 'learning_rate': 0.001645778796674692}",16506.319366455078
8888414,33.90660858154297,67478574174,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 7, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 8, 'conv1d_1_act': 'sigmoid', 'pool_size_1': 2, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 350, 'dense_0_dropout': 0.30000000000000004, 'dense_0_act': 'elu', 'learning_rate': 0.008897749557277422}",16211.499481201172
6548655,24.981136322021484,50579393967,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 6, 'conv1d_1_act': 'gelu', 'pool_size_1': 3, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 175, 'dense_0_dropout': 0.5, 'dense_0_act': 'sigmoid', 'learning_rate': 0.0016117281742799579}",15842.041244506836
6402123,24.422161102294922,50422125899,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 6, 'conv1d_1_act': 'gelu', 'pool_size_1': 4, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 75, 'dense_0_dropout': 0.30000000000000004, 'dense_0_act': 'none', 'learning_rate': 0.0004558595447365814}",15673.12223815918
263070208,1003.533203125,7917224448,"{'num_conv_layers': 2, 'conv1d_0_filters': 128, 'conv1d_0_kernel_size': 5, 'conv1d_0_act': 'none', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 7, 'conv1d_1_act': 'silu', 'pool_size_1': 4, 'pooling_type': 'flatten', 'num_dense_layers': 0, 'learning_rate': 0.007626084367187703}",12839.013671875
4368640,16.6650390625,33885616896,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 8, 'conv1d_1_act': 'gelu', 'pool_size_1': 2, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.001071338467649279}",12641.7822265625
2777344,10.5947265625,21155248896,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 5, 'conv1d_1_act': 'gelu', 'pool_size_1': 2, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.00018927804415206482}",12617.5009765625
704768,2.6884765625,4557232384,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 7, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 1, 'conv1d_1_act': 'relu', 'pool_size_1': 3, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.0001433335413608569}",12419.1259765625
4442899,16.948314666748047,33819217427,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 5, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 8, 'conv1d_1_act': 'relu', 'pool_size_1': 4, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 275, 'dense_0_dropout': 0.1, 'dense_0_act': 'elu', 'learning_rate': 0.0001475167840993845}",12393.318161010742
1937602,7.391365051269531,12709216202,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 2, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 3, 'conv1d_1_act': 'tanh', 'pool_size_1': 4, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 450, 'dense_0_dropout': 0.1, 'dense_0_act': 'gelu', 'learning_rate': 0.004398206867996324}",12355.346710205078
1747200,6.6650390625,12904880896,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 3, 'conv1d_1_act': 'tanh', 'pool_size_1': 4, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.006863749657642351}",12351.7822265625
1956115,7.461986541748047,12798827027,"{'num_conv_layers': 2, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 8, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 3, 'conv1d_1_act': 'elu', 'pool_size_1': 2, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 275, 'dense_0_dropout': 0.30000000000000004, 'dense_0_act': 'elu', 'learning_rate': 0.0004473651496448051}",12105.622848510742
1666523,6.357280731201172,8433005127,"{'num_conv_layers': 2, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'relu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 2, 'conv1d_1_act': 'elu', 'pool_size_1': 2, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 475, 'dense_0_dropout': 0.2, 'dense_0_act': 'gelu', 'learning_rate': 0.00033257138387231847}",12101.496994018555
262185216,1000.1572265625,831655680,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'tanh', 'pool_size_0': 4, 'pooling_type': 'flatten', 'num_dense_layers': 0, 'learning_rate': 0.0009682729388019014}",12075.5126953125
3877782,14.792564392089844,29454207170,"{'num_conv_layers': 2, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 7, 'conv1d_1_act': 'elu', 'pool_size_1': 3, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 150, 'dense_0_dropout': 0.2, 'dense_0_act': 'silu', 'learning_rate': 0.00017180919742361587}",11801.26205444336
349485312,1333.1806640625,1055394560,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 7, 'conv1d_0_act': 'none', 'pool_size_0': 3, 'pooling_type': 'flatten', 'num_dense_layers': 0, 'learning_rate': 0.0001072796669806333}",11740.6064453125
8537444,32.56776428222656,33679789924,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 2, 'conv1d_0_act': 'relu', 'pool_size_0': 2, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 8, 'conv1d_1_act': 'gelu', 'pool_size_1': 2, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 100, 'dense_0_dropout': 0.0, 'dense_0_act': 'tanh', 'learning_rate': 0.006228241039344799}",11705.729064941406
3947776,15.0595703125,29452983040,"{'num_conv_layers': 2, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'relu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 7, 'conv1d_1_act': 'sigmoid', 'pool_size_1': 4, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.00014201877940516787}",11635.6103515625
3135863,11.96236801147461,21212268627,"{'num_conv_layers': 2, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'relu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 5, 'conv1d_1_act': 'elu', 'pool_size_1': 4, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 375, 'dense_0_dropout': 0.2, 'dense_0_act': 'gelu', 'learning_rate': 0.00020974292651641568}",11623.770858764648
8677632,33.1025390625,33737400064,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'gelu', 'pool_size_0': 2, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 8, 'conv1d_1_act': 'tanh', 'pool_size_1': 3, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.0045492661253886246}",11540.7705078125
