Parameter,Category,Fraction,Count
params_conv1d_0_act,silu,0.7926,107
params_conv1d_0_act,elu,0.1481,20
params_conv1d_0_act,gelu,0.0296,4
params_conv1d_0_act,none,0.0148,2
params_conv1d_0_act,tanh,0.0074,1
params_conv1d_0_act,sigmoid,0.0074,1
params_conv1d_1_act,tanh,0.7121,94
params_conv1d_1_act,elu,0.1212,16
params_conv1d_1_act,relu,0.0758,10
params_conv1d_1_act,silu,0.0379,5
params_conv1d_1_act,none,0.0303,4
params_conv1d_1_act,gelu,0.0152,2
params_conv1d_1_act,sigmoid,0.0076,1
params_coord_mode,polar_sincos,0.963,130
params_coord_mode,polar_theta_norm,0.037,5
params_dense_0_act,gelu,0.8712,115
params_dense_0_act,tanh,0.0379,5
params_dense_0_act,relu,0.0303,4
params_dense_0_act,none,0.0303,4
params_dense_0_act,elu,0.0152,2
params_dense_0_act,sigmoid,0.0076,1
params_dense_0_act,silu,0.0076,1
params_pooling_type,max,0.9407,127
params_pooling_type,average,0.0593,8
