Parameter,Category,Fraction,Count
params_conv1d_0_act,elu,0.5556,15
params_conv1d_0_act,silu,0.1852,5
params_conv1d_0_act,gelu,0.1111,3
params_conv1d_0_act,none,0.0741,2
params_conv1d_0_act,tanh,0.037,1
params_conv1d_0_act,sigmoid,0.037,1
params_conv1d_1_act,elu,0.2917,7
params_conv1d_1_act,relu,0.2083,5
params_conv1d_1_act,silu,0.1667,4
params_conv1d_1_act,none,0.125,3
params_conv1d_1_act,gelu,0.0833,2
params_conv1d_1_act,tanh,0.0833,2
params_conv1d_1_act,sigmoid,0.0417,1
params_coord_mode,polar_sincos,0.8148,22
params_coord_mode,polar_theta_norm,0.1852,5
params_dense_0_act,gelu,0.48,12
params_dense_0_act,tanh,0.16,4
params_dense_0_act,relu,0.16,4
params_dense_0_act,none,0.12,3
params_dense_0_act,sigmoid,0.04,1
params_dense_0_act,elu,0.04,1
params_pooling_type,max,0.7037,19
params_pooling_type,average,0.2963,8
