Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,115.51,210.43,64,64,64,64,256
params_conv1d_0_kernel_size,4.27,0.63,4,4,5,3,5
params_conv1d_1_filters,924.1,205.42,1024,1024,1024,512,1024
params_conv1d_1_kernel_size,8.02,0.47,8,8,8,8,9
params_dense_0_dropout,0.2,0,0.2,0.2,0.2,0.2,0.2
params_dense_0_units,471.34,22.75,475,475,475,450,500
params_learning_rate,5.99e-04,1.00e-04,5.98e-04,5.39e-04,6.32e-04,4.63e-04,7.94e-04
params_num_conv_layers,2,0,2,2,2,2,2
params_num_dense_layers,1,0,1,1,1,1,1
params_pool_size_0,3.9,0.3,4,4,4,3,4
params_pool_size_1,2.24,0.49,2,2,3,2,3
