Parameter,Category,Fraction,Count
params_conv1d_0_act,relu,0.6049,124
params_conv1d_0_act,silu,0.2976,61
params_conv1d_0_act,gelu,0.0488,10
params_conv1d_0_act,tanh,0.039,8
params_conv1d_0_act,elu,0.0098,2
params_conv1d_1_act,tanh,0.8945,178
params_conv1d_1_act,gelu,0.0553,11
params_conv1d_1_act,elu,0.0251,5
params_conv1d_1_act,none,0.0101,2
params_conv1d_1_act,relu,0.0101,2
params_conv1d_1_act,silu,0.005,1
params_dense_0_act,silu,0.8706,175
params_dense_0_act,relu,0.0647,13
params_dense_0_act,gelu,0.0398,8
params_dense_0_act,elu,0.0199,4
params_dense_0_act,none,0.005,1
params_pooling_type,max,0.9854,202
params_pooling_type,flatten,0.0098,2
params_pooling_type,average,0.0049,1
