Parameter,Category,Fraction,Count
params_conv1d_0_act,silu,0.3659,15
params_conv1d_0_act,relu,0.2439,10
params_conv1d_0_act,tanh,0.1951,8
params_conv1d_0_act,gelu,0.1707,7
params_conv1d_0_act,elu,0.0244,1
params_conv1d_1_act,tanh,0.4857,17
params_conv1d_1_act,gelu,0.3143,11
params_conv1d_1_act,elu,0.1429,5
params_conv1d_1_act,none,0.0286,1
params_conv1d_1_act,silu,0.0286,1
params_dense_0_act,silu,0.5135,19
params_dense_0_act,relu,0.2973,11
params_dense_0_act,gelu,0.0811,3
params_dense_0_act,elu,0.0811,3
params_dense_0_act,none,0.027,1
params_pooling_type,max,0.9268,38
params_pooling_type,flatten,0.0488,2
params_pooling_type,average,0.0244,1
