Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,62.84,53.7,32,32,64,32,128
params_conv1d_0_kernel_size,6.93,1.21,7,6,8,5,8
params_conv1d_1_filters,169.21,91.55,128,128,256,32,256
params_conv1d_1_kernel_size,8.79,0.78,9,9,9,8,9
params_dense_0_dropout,6.69e-02,8.68e-02,0.1,0,0.1,0,0.22
params_dense_0_units,220.37,98.05,225,150,250,100,428.75
params_learning_rate,2.59e-03,1.28e-03,2.44e-03,1.58e-03,3.30e-03,1.18e-03,4.77e-03
params_num_conv_layers,1.99,0.1,2,2,2,2,2
params_num_dense_layers,0.92,0.27,1,1,1,0,1
params_pool_size_0,3.96,0.24,4,4,4,4,4
params_pool_size_1,2.08,0.35,2,2,2,2,2.5
