Parameter,Category,Fraction,Count
params_conv1d_activation_0,tanh,0.8579,163
params_conv1d_activation_0,swish,0.0895,17
params_conv1d_activation_0,relu,0.0316,6
params_conv1d_activation_0,sigmoid,0.0211,4
params_conv1d_activation_1,swish,0.8842,168
params_conv1d_activation_1,relu,0.0526,10
params_conv1d_activation_1,tanh,0.0368,7
params_conv1d_activation_1,sigmoid,0.0263,5
params_conv1d_activation_2,swish,0.7789,148
params_conv1d_activation_2,relu,0.1421,27
params_conv1d_activation_2,sigmoid,0.0526,10
params_conv1d_activation_2,tanh,0.0263,5
params_conv1d_activation_3,sigmoid,0.828,154
params_conv1d_activation_3,relu,0.1022,19
params_conv1d_activation_3,swish,0.0376,7
params_conv1d_activation_3,tanh,0.0323,6
params_conv1d_activation_4,tanh,0.5,5
params_conv1d_activation_4,swish,0.2,2
params_conv1d_activation_4,relu,0.2,2
params_conv1d_activation_4,sigmoid,0.1,1
params_conv1d_activation_5,sigmoid,0.4,2
params_conv1d_activation_5,tanh,0.2,1
params_conv1d_activation_5,swish,0.2,1
params_conv1d_activation_5,relu,0.2,1
params_conv1d_bn_3,True,0.9516,177
params_conv1d_bn_3,False,0.0484,9
params_conv1d_bn_4,False,0.8,8
params_conv1d_bn_4,True,0.2,2
params_conv1d_bn_5,False,0.8,4
params_conv1d_bn_5,True,0.2,1
params_extra_dense_0_activation_0,relu,0.8632,164
params_extra_dense_0_activation_0,sigmoid,0.0842,16
params_extra_dense_0_activation_0,swish,0.0421,8
params_extra_dense_0_activation_0,tanh,0.0105,2
params_extra_dense_1_activation_0,swish,0.6684,127
params_extra_dense_1_activation_0,relu,0.2105,40
params_extra_dense_1_activation_0,sigmoid,0.0789,15
params_extra_dense_1_activation_0,tanh,0.0421,8
params_optimizer,Lion,0.9211,175
params_optimizer,AdamW,0.0579,11
params_optimizer,RMSprop,0.0211,4
