"Parameter","Category","Fraction","Count"
params_conv1d_0_act,swish,0.4,10
params_conv1d_0_act,relu,0.4,10
params_conv1d_0_act,tanh,0.12,3
params_conv1d_0_act,sigmoid,0.08,2
params_conv1d_1_act,relu,0.52,13
params_conv1d_1_act,tanh,0.2,5
params_conv1d_1_act,sigmoid,0.16,4
params_conv1d_1_act,swish,0.12,3
params_conv1d_2_act,relu,0.6,15
params_conv1d_2_act,tanh,0.2,5
params_conv1d_2_act,sigmoid,0.16,4
params_conv1d_2_act,swish,0.04,1
params_conv1d_3_act,relu,0.76,19
params_conv1d_3_act,sigmoid,0.08,2
params_conv1d_3_act,tanh,0.08,2
params_conv1d_3_act,swish,0.08,2
params_dense_1_act,swish,0.56,14
params_dense_1_act,relu,0.24,6
params_dense_1_act,tanh,0.12,3
params_dense_1_act,sigmoid,0.08,2
params_dense_2_act,swish,0.72,18
params_dense_2_act,relu,0.12,3
params_dense_2_act,sigmoid,0.12,3
params_dense_2_act,tanh,0.04,1
