Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,516.57,11.28,520,520,520,480,520
params_conv1d_0_kernel_size,5.74,0.85,6,6,6,3,6
params_conv1d_1_filters,333.71,52.26,360,360,360,240,360
params_conv1d_1_kernel_size,3,0,3,3,3,3,3
params_conv1d_2_filters,400,0,400,400,400,400,400
params_conv1d_2_kernel_size,3,0,3,3,3,3,3
params_conv1d_3_filters,150,0,150,150,150,150,150
params_conv1d_3_kernel_size,3,0,3,3,3,3,3
params_dense_1_dropout,0,0,0,0,0,0,0
params_dense_1_units,250,0,250,250,250,250,250
params_dense_2_dropout,4.86e-02,5.03e-02,0,0,0.1,0,0.1
params_dense_2_units,350,0,350,350,350,350,350
params_lr,8.33e-05,2.00e-06,8.31e-05,8.19e-05,8.49e-05,8.01e-05,8.69e-05
params_pool_size_0,3,0,3,3,3,3,3
params_pool_size_1,3,0,3,3,3,3,3
params_pool_size_2,3,0,3,3,3,3,3
params_pool_size_3,3.99,0.12,4,4,4,4,4
