"Parameter","Category","Fraction","Count"
params_conv1d_0_act,swish,0.4143,29
params_conv1d_0_act,relu,0.4143,29
params_conv1d_0_act,sigmoid,0.1143,8
params_conv1d_0_act,tanh,0.0571,4
params_conv1d_1_act,swish,0.7143,50
params_conv1d_1_act,relu,0.2,14
params_conv1d_1_act,sigmoid,0.0571,4
params_conv1d_1_act,tanh,0.0286,2
params_conv1d_2_act,swish,0.7,49
params_conv1d_2_act,relu,0.2,14
params_conv1d_2_act,tanh,0.0571,4
params_conv1d_2_act,sigmoid,0.0429,3
params_conv1d_3_act,relu,0.5714,40
params_conv1d_3_act,swish,0.3143,22
params_conv1d_3_act,tanh,0.0857,6
params_conv1d_3_act,sigmoid,0.0286,2
params_dense_1_act,swish,0.5,35
params_dense_1_act,relu,0.2714,19
params_dense_1_act,sigmoid,0.2,14
params_dense_1_act,tanh,0.0286,2
params_dense_2_act,tanh,0.3571,25
params_dense_2_act,swish,0.3571,25
params_dense_2_act,sigmoid,0.1714,12
params_dense_2_act,relu,0.1143,8
