Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,428.14,146.93,512,320,512,128,512
params_conv1d_0_kernel_size,2.98,0.13,3,3,3,3,3
params_conv1d_1_filters,337.66,137.1,256,256,512,128,512
params_conv1d_1_kernel_size,3.59,0.59,4,3,4,2.85,4
params_conv1d_2_filters,278.07,157.02,256,160,448,64,512
params_conv1d_2_kernel_size,3.17,0.96,3,3,3,2,5.15
params_conv1d_3_filters,147.86,51.15,128,128,128,128,256
params_conv1d_3_kernel_size,2.97,0.42,3,3,3,2,4
params_dense_0_dropout,0.44,0.12,0.5,0.4,0.5,0.18,0.5
params_dense_0_units,333.04,36.03,350,350,350,250,350
params_dense_1_dropout,0.35,7.07e-02,0.35,0.33,0.38,0.31,0.4
params_dense_1_units,250,70.71,250,225,275,205,295
params_ffn_units,229.52,138.27,256,128,256,64,512
params_key_dim,43.03,15.34,32,32,64,32,64
params_lr,4.88e-05,1.49e-05,4.95e-05,3.31e-05,6.14e-05,3.16e-05,6.96e-05
params_num_dense_layers,1,0.26,1,1,1,1,1
params_num_heads,5.03,1.77,4,4,7,4,8
params_pool_size_1,4.69,0.92,5,5,5,2,5
params_pool_size_2,3.41,0.56,3,3,4,3,4
params_pool_size_3,3.6,0.67,4,3,4,2,4
