"Parameter","Category","Fraction","Count"
params_conv1d_0_act,swish,0.801,157
params_conv1d_0_act,relu,0.148,29
params_conv1d_0_act,tanh,0.051,10
params_conv1d_1_act,swish,0.7296,143
params_conv1d_1_act,tanh,0.1735,34
params_conv1d_1_act,relu,0.0969,19
params_conv1d_2_act,swish,0.7602,149
params_conv1d_2_act,tanh,0.1327,26
params_conv1d_2_act,relu,0.1071,21
params_conv1d_3_act,relu,0.449,88
params_conv1d_3_act,swish,0.4184,82
params_conv1d_3_act,tanh,0.1327,26
params_dense_0_act,swish,0.5737,109
params_dense_0_act,tanh,0.3316,63
params_dense_0_act,relu,0.0947,18
params_dense_1_act,tanh,0.7463,50
params_dense_1_act,swish,0.2388,16
params_dense_1_act,relu,0.0149,1
params_ffn_activation,relu,0.5918,116
params_ffn_activation,tanh,0.2143,42
params_ffn_activation,swish,0.1939,38
