Parameter,Category,Fraction,Count
params_cheb_0_act,tanh,0.4,2
params_cheb_0_act,relu,0.4,2
params_cheb_0_act,swish,0.2,1
params_cheb_1_act,tanh,1.0,4
params_cheb_2_act,None,1.0,2
params_dense_0_act,tanh,0.8,4
params_dense_0_act,swish,0.2,1
params_dense_1_act,tanh,1.0,5
params_dense_2_act,tanh,1.0,3
params_proj_dense_act,tanh,0.6,3
params_proj_dense_act,swish,0.2,1
params_proj_dense_act,relu,0.2,1
params_se_cheb_0_se_act_expand,swish,0.6,3
params_se_cheb_0_se_act_expand,tanh,0.2,1
params_se_cheb_0_se_act_expand,None,0.2,1
params_se_cheb_0_se_act_reduce,tanh,0.6,3
params_se_cheb_0_se_act_reduce,None,0.4,2
params_se_cheb_1_se_act_expand,tanh,1.0,4
params_se_cheb_1_se_act_reduce,tanh,0.75,3
params_se_cheb_1_se_act_reduce,None,0.25,1
params_se_cheb_2_se_act_expand,relu,1.0,2
params_se_cheb_2_se_act_reduce,swish,1.0,2
params_se_proj_dense_se_act_expand,None,0.4,2
params_se_proj_dense_se_act_expand,swish,0.4,2
params_se_proj_dense_se_act_expand,tanh,0.2,1
params_se_proj_dense_se_act_reduce,tanh,0.4,2
params_se_proj_dense_se_act_reduce,relu,0.4,2
params_se_proj_dense_se_act_reduce,None,0.2,1
