Parameter,Category,Fraction,Count
params_cheb_0_act,None,0.4,2
params_cheb_0_act,swish,0.4,2
params_cheb_0_act,tanh,0.2,1
params_cheb_1_act,None,0.6667,2
params_cheb_1_act,relu,0.3333,1
params_cheb_2_act,swish,1.0,1
params_dense_0_act,relu,1.0,1
params_proj_dense_act,None,0.6,3
params_proj_dense_act,swish,0.4,2
params_se_cheb_0_se_act_expand,relu,0.6,3
params_se_cheb_0_se_act_expand,tanh,0.4,2
params_se_cheb_0_se_act_reduce,None,0.4,2
params_se_cheb_0_se_act_reduce,swish,0.2,1
params_se_cheb_0_se_act_reduce,relu,0.2,1
params_se_cheb_0_se_act_reduce,tanh,0.2,1
params_se_cheb_1_se_act_expand,relu,0.6667,2
params_se_cheb_1_se_act_expand,tanh,0.3333,1
params_se_cheb_1_se_act_reduce,relu,0.6667,2
params_se_cheb_1_se_act_reduce,swish,0.3333,1
params_se_cheb_2_se_act_expand,relu,1.0,1
params_se_cheb_2_se_act_reduce,swish,1.0,1
params_se_proj_dense_se_act_expand,relu,0.6,3
params_se_proj_dense_se_act_expand,None,0.2,1
params_se_proj_dense_se_act_expand,swish,0.2,1
params_se_proj_dense_se_act_reduce,tanh,0.4,2
params_se_proj_dense_se_act_reduce,swish,0.4,2
params_se_proj_dense_se_act_reduce,None,0.2,1
