Parameter,Category,Fraction,Count
params_conv1d_0_act,tanh,0.43661971830985913,31
params_conv1d_0_act,sigmoid,0.28169014084507044,20
params_conv1d_0_act,swish,0.28169014084507044,20
params_conv1d_1_act,swish,0.4225352112676056,30
params_conv1d_1_act,sigmoid,0.30985915492957744,22
params_conv1d_1_act,tanh,0.2676056338028169,19
params_conv1d_2_act,swish,0.5151515151515151,34
params_conv1d_2_act,sigmoid,0.3181818181818182,21
params_conv1d_2_act,tanh,0.16666666666666666,11
params_conv1d_3_act,swish,0.3684210526315789,21
params_conv1d_3_act,tanh,0.3333333333333333,19
params_conv1d_3_act,sigmoid,0.2982456140350877,17
params_conv1d_4_act,tanh,0.43902439024390244,18
params_conv1d_4_act,sigmoid,0.36585365853658536,15
params_conv1d_4_act,swish,0.1951219512195122,8
params_conv1d_5_act,tanh,0.68,17
params_conv1d_5_act,sigmoid,0.2,5
params_conv1d_5_act,swish,0.12,3
params_conv1d_6_act,swish,0.4,6
params_conv1d_6_act,sigmoid,0.4,6
params_conv1d_6_act,tanh,0.2,3
params_conv1d_7_act,tanh,0.5714285714285714,4
params_conv1d_7_act,sigmoid,0.2857142857142857,2
params_conv1d_7_act,swish,0.14285714285714285,1
params_dense_0_act,sigmoid,0.7631578947368421,29
params_dense_0_act,swish,0.13157894736842105,5
params_dense_0_act,tanh,0.10526315789473684,4
params_dense_1_act,tanh,0.5757575757575758,19
params_dense_1_act,sigmoid,0.2727272727272727,9
params_dense_1_act,swish,0.15151515151515152,5
params_dense_as_conv1d_after_concat_act,swish,0.5416666666666666,13
params_dense_as_conv1d_after_concat_act,sigmoid,0.3333333333333333,8
params_dense_as_conv1d_after_concat_act,tanh,0.125,3
params_output_strategy,global_average_pooling,0.3380281690140845,24
params_output_strategy,max_pooling_concat,0.3380281690140845,24
params_output_strategy,flatten,0.323943661971831,23
