Parameter,Mean,Std,Min,25%,Median,75%,Max
params_conv1d_0_filters,105.7560975609756,116.48870670378835,32.0,64.0,64.0,64.0,512.0
params_conv1d_0_kernel_size,4.829268292682927,0.5838331837003116,2.0,5.0,5.0,5.0,5.0
params_conv1d_1_filters,178.34146341463415,134.83297573657615,32.0,128.0,128.0,128.0,512.0
params_conv1d_1_kernel_size,2.8048780487804876,0.7275703587417525,1.0,3.0,3.0,3.0,5.0
params_conv1d_2_filters,140.4878048780488,79.46584698533866,32.0,128.0,128.0,128.0,512.0
params_conv1d_2_kernel_size,1.451219512195122,1.1128035890320997,1.0,1.0,1.0,1.0,5.0
params_conv1d_3_filters,416.0,171.99483196370238,32.0,320.0,512.0,512.0,512.0
params_conv1d_3_kernel_size,4.682926829268292,0.9412107881162252,1.0,5.0,5.0,5.0,5.0
params_conv1d_4_filters,47.407407407407405,62.196820211683196,32.0,32.0,32.0,32.0,512.0
params_conv1d_4_kernel_size,4.469135802469136,1.0849702732458435,1.0,5.0,5.0,5.0,5.0
params_conv1d_5_filters,110.9873417721519,113.40776142105769,32.0,64.0,64.0,128.0,512.0
params_conv1d_5_kernel_size,1.1898734177215189,0.7351251309338275,1.0,1.0,1.0,1.0,5.0
params_conv1d_6_filters,472.61538461538464,113.09865028064966,64.0,512.0,512.0,512.0,512.0
params_conv1d_6_kernel_size,4.82051282051282,0.639471976652933,2.0,5.0,5.0,5.0,5.0
params_conv1d_7_filters,345.6,228.97336089597846,64.0,128.0,512.0,512.0,512.0
params_conv1d_7_kernel_size,2.6,0.8944271909999159,2.0,2.0,2.0,3.0,4.0
params_conv_layers,6.963414634146342,0.5315972194564369,4.0,7.0,7.0,7.0,8.0
params_dense_0_dropout,0.2987012987012987,0.10449566409225149,0.0,0.30000000000000004,0.30000000000000004,0.4,0.5
params_dense_0_units,246.1038961038961,17.70785167479195,200.0,250.0,250.0,250.0,300.0
params_dense_1_dropout,0.2935064935064935,0.07133623560233006,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.5
params_dense_1_units,246.75324675324674,16.89297256893018,150.0,250.0,250.0,250.0,300.0
params_dense_conv1x1_0_filters,243.2,245.37970576231442,64.0,64.0,64.0,512.0,512.0
params_dense_conv1x1_1_filters,332.8,245.37970576231442,64.0,64.0,512.0,512.0,512.0
params_lr,3.691136335849346e-05,4.133740971233954e-05,1.7364526596785216e-06,2.1636259797691926e-05,2.7821824053618565e-05,3.956087967233386e-05,0.00033649767939826806
params_pool_size_0,2.0609756097560976,0.32763880201062406,2.0,2.0,2.0,2.0,4.0
params_pool_size_1,2.9146341463414633,0.28114490408192994,2.0,3.0,3.0,3.0,3.0
params_pool_size_2,2.0609756097560976,0.2874992635786491,2.0,2.0,2.0,2.0,4.0
params_pool_size_3,2.9390243902439024,0.5521576303742328,2.0,3.0,3.0,3.0,7.0
params_pool_size_4,2.037037037037037,0.2472066162365221,2.0,2.0,2.0,2.0,4.0
params_pool_size_5,2.9240506329113924,0.26660986087588917,2.0,3.0,3.0,3.0,3.0
params_pool_size_6,2.923076923076923,0.2681940937606045,2.0,3.0,3.0,3.0,3.0
params_pool_size_7,2.0,0.0,2.0,2.0,2.0,2.0,2.0
