Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_batch_size,73.41,23.01,64,64,64,64,128
params_conv1d_0_filters,240.94,116.91,256,128,256,128,512
params_conv1d_0_kernel_size,5.12,2.21,6,2.25,7,2,7.35
params_conv1d_1_filters,244.71,101.46,256,160,256,128,512
params_conv1d_1_kernel_size,4.62,2.88,4,2,7,1,9
params_conv1d_2_filters,406.59,168.14,512,256,512,128,512
params_conv1d_2_kernel_size,6.09,1.66,6,5,7,3.65,8.7
params_conv1d_3_filters,161.88,96.14,128,128,128,128,345.6
params_conv1d_3_kernel_size,3.59,2.16,3,2,5,1,7
params_dense_0_dropout,7.35e-02,0.14,0,0,0.1,0,0.33
params_dense_0_units,248.53,26.07,250,250,250,200,300
params_dense_1_dropout,0.41,0.14,0.45,0.4,0.5,6.50e-02,0.5
params_dense_1_units,266.18,47.23,300,250,300,150,300
params_lr,9.73e-05,1.29e-04,5.96e-05,4.27e-05,9.01e-05,4.69e-06,3.21e-04
params_pool_size_0,3.12,1.41,3,2,3.75,2,5.35
params_pool_size_1,4.71,1.03,5,4,5,3,6.35
params_pool_size_2,4.35,1.57,5,2.5,5,2,6
params_pool_size_3,3.24,1.21,3,2,4,2,4.7
