Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_batch_size,64,0,64,64,64,64,64
params_conv1d_0_filters,354.67,174.51,512,128,512,128,512
params_conv1d_0_kernel_size,2.01,0.12,2,2,2,2,2
params_conv1d_1_filters,203.56,95.06,256,128,256,64,256
params_conv1d_1_kernel_size,2.28,0.45,2,2,3,2,3
params_conv1d_2_filters,317.33,191.98,256,128,512,128,512
params_conv1d_2_kernel_size,3.24,0.76,3,3,4,2,4
params_conv1d_3_filters,65.78,10.59,64,64,64,64,64
params_conv1d_3_kernel_size,2.72,0.45,3,2,3,2,3
params_dense_2_units,252.78,29.37,270,220,270,210,290
params_lr,4.12e-05,1.32e-05,3.92e-05,3.36e-05,4.56e-05,2.67e-05,6.42e-05
params_pool_size_0,2.01,0.12,2,2,2,2,2
params_pool_size_1,2.21,0.41,2,2,2,2,3
params_pool_size_2,3.12,0.37,3,3,3,3,4
params_pool_size_3,3.07,0.26,3,3,3,3,4
