Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,468.41,42.2,440,440,520,440,520
params_conv1d_0_kernel_size,6.31,1.61,6,6,6,4,10
params_conv1d_1_filters,335.31,86.08,400,200,400,200,400
params_conv1d_1_kernel_size,4.1,3.29,2,2,6,2,10
params_conv1d_2_filters,467.72,65.95,440,440,520,400,600
params_conv1d_2_kernel_size,7.97,1.68,8,8,8,4,10
params_conv1d_3_filters,93.24,27.92,70,70,110,70,150
params_conv1d_3_kernel_size,10.94,2.05,12,10,12,6,12
params_dense_1_dropout,0.16,6.10e-02,0.2,0.1,0.2,0.1,0.2
params_dense_1_units,169.83,48.27,150,150,150,150,250
params_dense_2_dropout,0.15,7.12e-02,0.1,0.1,0.2,0.1,0.3
params_dense_2_units,248.97,67.06,200,200,300,200,350
params_lr,7.32e-05,1.25e-04,1.21e-05,1.08e-05,4.29e-05,1.00e-05,3.91e-04
params_pool_size_0,3.24,0.73,3,3,3,3,5
params_pool_size_1,4.7,0.73,5,5,5,3,5
params_pool_size_2,3.09,0.52,3,3,3,2.45,4
params_pool_size_3,4.07,0.85,4,4,5,2,5
