Parameter,Category,Fraction,Count
params_conv1d_0_act,gelu,0.3333,5
params_conv1d_0_act,elu,0.2667,4
params_conv1d_0_act,relu,0.2667,4
params_conv1d_0_act,none,0.0667,1
params_conv1d_0_act,sigmoid,0.0667,1
params_conv1d_1_act,silu,0.8,12
params_conv1d_1_act,tanh,0.1333,2
params_conv1d_1_act,relu,0.0667,1
params_conv1d_2_act,relu,0.3333,4
params_conv1d_2_act,none,0.25,3
params_conv1d_2_act,elu,0.1667,2
params_conv1d_2_act,gelu,0.1667,2
params_conv1d_2_act,tanh,0.0833,1
params_conv1d_3_act,sigmoid,0.25,1
params_conv1d_3_act,elu,0.25,1
params_conv1d_3_act,relu,0.25,1
params_conv1d_3_act,silu,0.25,1
params_dense_0_act,sigmoid,0.4615,6
params_dense_0_act,silu,0.3077,4
params_dense_0_act,none,0.0769,1
params_dense_0_act,tanh,0.0769,1
params_dense_0_act,relu,0.0769,1
params_dense_1_act,relu,0.3636,4
params_dense_1_act,silu,0.2727,3
params_dense_1_act,gelu,0.0909,1
params_dense_1_act,sigmoid,0.0909,1
params_dense_1_act,none,0.0909,1
params_dense_1_act,elu,0.0909,1
params_dense_2_act,silu,0.8333,5
params_dense_2_act,relu,0.1667,1
params_optimizer,adamw,0.5333,8
params_optimizer,adam,0.4,6
params_optimizer,rmsprop,0.0667,1
