Parameter,Category,Fraction,Count
params_conv1d_0_act,relu,0.3333,1
params_conv1d_0_act,none,0.3333,1
params_conv1d_0_act,elu,0.3333,1
params_conv1d_1_act,silu,0.3333,1
params_conv1d_1_act,relu,0.3333,1
params_conv1d_1_act,tanh,0.3333,1
params_conv1d_2_act,none,0.3333,1
params_conv1d_2_act,elu,0.3333,1
params_conv1d_2_act,tanh,0.3333,1
params_conv1d_3_act,elu,0.5,1
params_conv1d_3_act,sigmoid,0.5,1
params_dense_0_act,tanh,1.0,1
params_dense_1_act,elu,1.0,1
params_dense_2_act,silu,1.0,1
params_optimizer,adamw,0.6667,2
params_optimizer,rmsprop,0.3333,1
