Parameter,Category,Fraction,Count
params_cnn_dense_0_act,tanh,1.0,2
params_cnn_dense_1_act,gelu,1.0,1
params_cnn_dense_2_act,elu,1.0,1
params_conv1d_0_act,gelu,0.5,2
params_conv1d_0_act,relu,0.25,1
params_conv1d_0_act,silu,0.25,1
params_conv1d_1_act,silu,0.5,2
params_conv1d_1_act,none,0.25,1
params_conv1d_1_act,relu,0.25,1
params_conv1d_2_act,relu,1.0,4
params_conv1d_3_act,gelu,0.75,3
params_conv1d_3_act,tanh,0.25,1
params_dense_0_act,sigmoid,0.5,1
params_dense_0_act,elu,0.5,1
params_optimizer,rmsprop,0.5,2
params_optimizer,adamw,0.5,2
params_pooling_type,max,1.0,4
