Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,500.0,114.02,550.0,375.0,600.0,350,600.0
params_cnn_dense_1_filters,371.43,118.52,350.0,300.0,400.0,250,540.0
params_cnn_dense_2_filters,575.0,35.36,575.0,562.5,587.5,552.5,597.5
params_conv1d_0_filters,336.7,166.24,256.0,256.0,512.0,128,512.0
params_conv1d_0_kernel_size,7.43,1.9,7.0,7.0,9.0,3.2,9.0
params_conv1d_1_filters,396.8,130.67,512.0,256.0,512.0,256,512.0
params_conv1d_1_kernel_size,6.4,2.68,7.0,3.0,9.0,3,9.0
params_conv1d_2_filters,428.8,151.31,512.0,448.0,512.0,128,512.0
params_conv1d_2_kernel_size,3.2,0.62,3.0,3.0,3.0,3,5.0
params_conv1d_3_filters,180.71,75.85,128.0,128.0,256.0,64,256.0
params_conv1d_3_kernel_size,3.94,1.03,3.0,3.0,5.0,3,5.0
params_dense_0_dropout,0.16,0.13,0.2,0.0,0.2,0,0.32
params_dense_0_units,483.33,114.56,550.0,450.0,550.0,290,580.0
params_dense_1_dropout,0.2,0.2,0.2,0.1,0.3,2.00e-02,0.38
params_dense_1_units,566.67,57.74,600.0,550.0,600.0,510,600.0
params_dense_2_dropout,0.2,0.28,0.2,0.1,0.3,2.00e-02,0.38
params_dense_2_units,350.0,141.42,350.0,300.0,400.0,260,440.0
params_num_conv_layers,3.48,1.04,4.0,3.5,4.0,1,4.0
params_num_dense_layers,1.48,0.95,1.0,1.0,2.0,0,3.0
params_pool_size_0,3.0,0.85,3.0,2.5,4.0,2,4.0
params_pool_size_1,1.9,0.64,2.0,1.75,2.0,1,3.0
params_pool_size_2,2.9,0.31,3.0,3.0,3.0,2,3.0
params_pool_size_3,3.53,0.51,4.0,3.0,4.0,3,4.0
