Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,235.85,162.97,128.0,128.0,256.0,64.0,512.0
params_conv1d_0_kernel_size,4.37,3.34,2.0,2.0,6.0,2.0,12.0
params_conv1d_1_filters,149.76,87.32,128.0,64.0,256.0,64.0,256.0
params_conv1d_1_kernel_size,7.08,2.59,6.0,6.0,9.5,4.0,12.0
params_conv1d_2_filters,341.33,174.65,256.0,256.0,512.0,64.0,512.0
params_conv1d_2_kernel_size,8.48,3.53,10.0,6.0,12.0,2.0,12.0
params_conv1d_3_filters,247.27,150.8,256.0,128.0,256.0,64.0,512.0
params_conv1d_3_kernel_size,6.64,3.62,6.0,4.0,9.5,2.0,12.0
params_dense_0_dropout,0.19,0.18,0.2,0.0,0.4,0.0,0.4
params_dense_0_units,356.25,100.33,350.0,287.5,450.0,250.0,550.0
params_dense_1_dropout,0.21,0.14,0.2,0.2,0.2,0.0,0.4
params_dense_1_units,556.0,63.44,600.0,550.0,600.0,450.0,600.0
params_dense_2_dropout,0.1,0.18,0.0,0.0,0.1,0.0,0.4
params_dense_2_units,437.5,102.52,450.0,412.5,512.5,277.5,550.0
params_num_conv_layers,3.11,0.92,3.0,3.0,4.0,1.0,4.0
params_num_dense_layers,1.65,0.97,2.0,1.0,2.0,0.0,3.0
params_pool_size_0,3.94,1.82,3.5,2.25,5.0,2.0,8.0
params_pool_size_1,3.18,1.4,3.0,2.0,4.0,2.0,6.0
params_pool_size_2,4.9,2.06,5.0,3.0,7.0,2.0,8.0
params_pool_size_3,3.55,1.97,3.0,2.0,4.0,2.0,7.0
