Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,No data,No data,No data,No data,No data,No data,No data
params_cnn_dense_1_filters,No data,No data,No data,No data,No data,No data,No data
params_cnn_dense_2_filters,No data,No data,No data,No data,No data,No data,No data
params_conv1d_0_filters,64,0,64,64,64,64,64
params_conv1d_0_kernel_size,3.5,1,3,3,3.5,3,4.7
params_conv1d_1_filters,64,0,64,64,64,64,64
params_conv1d_1_kernel_size,6,1.15,6,5,7,5,7
params_conv1d_2_filters,512,0,512,512,512,512,512
params_conv1d_2_kernel_size,8,2,9,8,9,5.6,9
params_conv1d_3_filters,128,0,128,128,128,128,128
params_conv1d_3_kernel_size,7,0,7,7,7,7,7
params_dense_0_dropout,0.2,0,0.2,0.2,0.2,0.2,0.2
params_dense_0_units,600,0,600,600,600,600,600
params_dense_1_dropout,0.4,0,0.4,0.4,0.4,0.4,0.4
params_dense_1_units,600,0,600,600,600,600,600
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,4,0,4,4,4,4,4
params_num_dense_layers,2,0,2,2,2,2,2
params_pool_size_0,2,0,2,2,2,2,2
params_pool_size_1,1.25,0.5,1,1,1.25,1,1.85
params_pool_size_2,3,0,3,3,3,3,3
params_pool_size_3,2,0,2,2,2,2,2
