Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cnn_dense_0_filters,250,,250,250,250,250,250
params_cnn_dense_1_filters,No data,No data,No data,No data,No data,No data,No data
params_cnn_dense_2_filters,No data,No data,No data,No data,No data,No data,No data
params_conv1d_0_filters,154.67,152.06,64,64,160,64,512
params_conv1d_0_kernel_size,5.17,2.28,5,3,7,3,9
params_conv1d_1_filters,220.8,200.75,128,64,512,64,512
params_conv1d_1_kernel_size,7.2,1.58,7,7,9,4.9,9
params_conv1d_2_filters,288,210.84,192,80,512,64,512
params_conv1d_2_kernel_size,6.67,1.85,7,5,8.5,4.7,9
params_conv1d_3_filters,226.46,139.77,128,128,256,128,512
params_conv1d_3_kernel_size,6.23,1.3,7,5,7,4.2,7
params_dense_0_dropout,0.17,0.15,0.2,0,0.2,0,0.4
params_dense_0_units,513.33,95.37,550,450,600,370,600
params_dense_1_dropout,0.36,0.13,0.4,0.4,0.4,0.18,0.4
params_dense_1_units,570,78.88,600,600,600,440,600
params_dense_2_dropout,0.33,0.12,0.4,0.3,0.4,0.22,0.4
params_dense_2_units,416.67,175.59,400,325,500,265,580
params_num_conv_layers,3.12,1.15,4,2.75,4,1,4
params_num_dense_layers,1.21,1.06,1,0,2,0,3
params_pool_size_0,2.5,1.06,2,2,4,1,4
params_pool_size_1,2.2,0.83,2,2,3,1,3.05
params_pool_size_2,3.39,0.61,3,3,4,2.85,4
params_pool_size_3,2.38,0.65,2,2,3,2,3.4
